Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,33,2.02,37.02,0.2052,,,0.0165,
ETH-2,32,-10.17,19.88,0.2085,,,0.0165,
ETH-3,58,1.71,37.45,0.6132,,,0.0150,
ETH-4,4,-10.22,19.72,0.4511,,,0.0042,
2FPA1_UviMed250,4,0.02,41.63,0.6554,0.0076,± 0.0150,0.0060,0.175
2FPA1_UviMed315,4,0.08,41.59,0.6540,0.0076,± 0.0150,0.0157,0.950
2FPA1_UviMed355,3,0.17,41.66,0.6503,0.0087,± 0.0170,0.0122,0.552
2FPA1_UviMed400,8,0.22,41.75,0.6410,0.0056,± 0.0110,0.0106,0.520
2FPA1_UviMed450,4,0.29,41.75,0.6499,0.0076,± 0.0150,0.0084,0.272
2FPA1_UviMed500,4,0.37,41.78,0.6448,0.0076,± 0.0149,0.0098,0.284
2FPA1_UviMed560,4,0.47,41.78,0.6528,0.0076,± 0.0150,0.0073,0.195
MD00-2360_menardi355,4,1.67,38.92,0.5977,0.0075,± 0.0147,0.0160,0.937
MD00-2360_menardi400,4,1.75,39.00,0.6190,0.0074,± 0.0146,0.0138,0.873
MD00-2360_menardi450,4,1.70,38.88,0.6168,0.0074,± 0.0145,0.0108,0.387
MD00-2360_menardi500,4,1.71,38.79,0.5969,0.0073,± 0.0144,0.0076,0.296
MD00-2360_menardi560,4,1.76,38.77,0.6124,0.0073,± 0.0143,0.0076,0.257
MD00-2360_orbulina500,4,2.10,37.81,0.6023,0.0074,± 0.0145,0.0086,0.391
MD00-2360_orbulina560,4,2.16,37.76,0.6139,0.0074,± 0.0145,0.0045,0.096
MD00-2360_ruber250,7,0.96,37.48,0.5917,0.0058,± 0.0114,0.0105,0.210
MD02-2577_menardi500,4,1.74,39.18,0.6142,0.0074,± 0.0145,0.0127,0.394
MD02-2577_menardi560,4,1.85,39.48,0.6044,0.0074,± 0.0145,0.0135,0.512
MD02-2577_orbulina560,4,2.25,38.79,0.6153,0.0074,± 0.0145,0.0157,0.699
MD02-2577_ruber250,4,1.09,37.92,0.5959,0.0073,± 0.0144,0.0123,0.451
MD02-2577_ruber315,4,1.50,37.78,0.5977,0.0073,± 0.0144,0.0142,0.849
MD03-2680_pachyD200,4,0.46,41.09,0.6470,0.0074,± 0.0145,0.0120,0.704
MD04-2720_pachyD200,4,1.42,42.67,0.6760,0.0075,± 0.0148,0.0047,0.124
MD08-3179_inflata200,4,0.21,40.02,0.6272,0.0075,± 0.0147,0.0154,0.753
MD08-3179_inflata250,4,0.63,40.30,0.6224,0.0073,± 0.0144,0.0139,0.525
MD08-3179_inflata315,4,0.51,40.82,0.6376,0.0074,± 0.0146,0.0166,0.932
