Sample,d18w,sd18w
MOCOSED_CWuel,0.27,0.2
MD04-2720_pachyD,-0.34,0.21
MOCOSED_pachyS,0.1,0.28
MD12-3401_bullo,-0.15,0.21
MD95-2014_bullo,0.39,0.2
MD08-3182_bullo,0.33,0.38
MD08-3182_pachyS,0.33,0.38
MD03-2680_pachyD,0.36,0.2
2FPA1_UviMed,0.59,0.2
SU90-03_bullo,1.07,0.26
MD08-3179_inflata315,1.07,0.27
MD08-3179_inflata450,1.07,0.27
MD08-3179_inflata355,1.07,0.27
MD08-3179_truncaS,1.07,0.27
MD08-3179_inflata400,1.07,0.27
MD08-3179_truncaD,1.07,0.27
MD08-3179_inflata250,1.07,0.27
MD08-3179_inflata200,1.07,0.27
MD12-3426_menardi,0.1,0.23
MD02-2577_menardi,0.76,0.23
MD00-2360_menardi,0.35,0.23
MD08-3179_ruber,1.07,0.27
MD02-2577_orbulina,0.76,0.23
MD12-3426_orbulina,0.1,0.23
MD00-2360_orbulina,0.35,0.23
MD00-2360_ruber,0.35,0.23
MD02-2577_ruber,0.76,0.23
