UID,Session,Sample,Mass,Core,Species,Size,d45,d46,d47,sd47,d48,d49,d13C_VPDB,SE_d13C,d18O_VPDB,SE_d18O,D47,1SE_D47
C222,2015-05,ETH-1,4.92,,,,5.781279,11.519361,16.502113,0.010380,22.354335,1.385919,2.061,0.038,-2.108,0.087,0.227864,0.014769
C224,2015-05,ETH-1,3.46,,,,5.794897,11.515767,16.556689,0.010893,22.102509,0.751074,2.076,0.038,-2.112,0.087,0.282093,0.014769
C225,2015-05,ETH-2,3.53,,,,-6.192956,-5.159425,-12.115582,0.012815,-10.399161,0.758405,-10.091,0.038,-18.553,0.087,0.247760,0.014769
C226,2015-05,ETH-3,3.57,,,,5.329278,11.709696,16.626707,0.008973,22.784069,0.672592,1.572,0.038,-1.919,0.087,0.729379,0.014769
C227,2015-05,ETH-4,3.57,,,,-6.232232,-5.278805,-12.066442,0.009474,-10.517725,-1.551916,-10.129,0.038,-18.671,0.087,0.508255,0.014769
C238,2015-05,ETH-3,4.01,,,,5.413804,11.830304,16.799325,0.009488,23.033912,0.103113,1.658,0.038,-1.800,0.087,0.687723,0.014769
C239,2015-05,ETH-4,4.15,,,,-6.263902,-5.313810,-12.130734,0.008852,-10.907333,-0.390325,-10.161,0.038,-18.705,0.087,0.510886,0.014769
C249,2015-05,ETH-1,3.58,,,,5.784096,11.523056,16.533099,0.010945,22.131911,0.175179,2.064,0.038,-2.104,0.087,0.257987,0.014769
C251,2015-05,ETH-3,4.15,,,,5.481315,11.871604,16.904861,0.008814,23.218850,0.708924,1.728,0.038,-1.760,0.087,0.681314,0.014769
C252,2015-05,ETH-4,3.88,,,,-6.264466,-5.344076,-12.168734,0.009508,-10.702235,0.390235,-10.161,0.038,-18.735,0.087,0.500727,0.014769
C256,2015-05,MD88-770_bullo250,3.64,MD88-770,G. bulloides,250-315,4.566467,15.986971,20.023865,0.009730,31.293458,0.416296,0.602,0.038,2.307,0.087,0.712800,0.014769
C257,2015-05,MD00-2360_ruber250,4.07,MD00-2360,G. ruber,250-315,4.859390,12.038406,16.406648,0.010338,23.414580,0.228834,1.059,0.038,-1.593,0.087,0.661267,0.014769
C260,2015-05,ETH-3,3.97,,,,5.507557,11.943907,16.992024,0.010126,23.289230,0.463052,1.754,0.038,-1.688,0.087,0.667497,0.014769
C261,2015-05,SU90-03_bullo250,3.75,SU90-03,G. bulloides,250-315,3.908717,15.439944,18.803621,0.009269,30.121036,0.678594,-0.079,0.038,1.768,0.087,0.716189,0.014769
C262,2015-05,MD95-2014_bullo250,3.9,MD95-2014,G. bulloides,250-315,3.629624,15.317526,18.403040,0.010338,29.951089,1.121500,-0.372,0.038,1.648,0.087,0.729078,0.014769
C263,2015-05,MD88-770_bullo250,3.71,MD88-770,G. bulloides,250-315,4.580063,16.028273,20.093137,0.008503,31.321383,0.860726,0.615,0.038,2.348,0.087,0.730643,0.014769
C266,2015-05,MD88-770_bullo250,3.48,MD88-770,G. bulloides,250-315,4.610922,16.018978,20.117687,0.010136,31.368270,0.665624,0.648,0.038,2.338,0.087,0.732488,0.014769
C267,2015-05,MD00-2360_ruber250,4.11,MD00-2360,G. ruber,250-315,4.827513,12.025833,16.355777,0.009519,23.316880,0.339155,1.026,0.038,-1.606,0.087,0.654602,0.014769
C268,2015-05,SU90-03_bullo250,3.61,SU90-03,G. bulloides,250-315,3.626045,15.244428,18.317822,0.010562,29.776837,0.051966,-0.373,0.038,1.576,0.087,0.717087,0.014769
C269,2015-05,ETH-3,3.86,,,,5.472487,11.825613,16.851467,0.009670,23.110536,0.230577,1.720,0.038,-1.805,0.087,0.682558,0.014769
C272,2015-05,ETH-3,3.81,,,,5.501077,11.926981,16.993537,0.009024,23.463031,-0.304962,1.747,0.038,-1.705,0.087,0.698188,0.014769
C273,2015-05,MD95-2014_bullo250,3.68,MD95-2014,G. bulloides,250-315,3.874812,15.432323,18.759069,0.011447,30.385019,0.691015,-0.115,0.038,1.761,0.087,0.714057,0.014769
C274,2015-05,MD88-770_bullo250,3.65,MD88-770,G. bulloides,250-315,4.628655,16.080843,20.214681,0.009164,31.749585,-0.038808,0.665,0.038,2.399,0.087,0.754262,0.014769
C275,2015-05,MD00-2360_ruber250,3.63,MD00-2360,G. ruber,250-315,4.826561,11.983844,16.309788,0.009482,23.471191,0.188173,1.026,0.038,-1.647,0.087,0.649999,0.014769
C278,2015-05,ETH-3,3.93,,,,5.519355,11.915384,16.995890,0.008782,23.366267,0.233510,1.767,0.038,-1.716,0.087,0.691746,0.014769
C279,2015-05,MD88-770_bullo250,3.44,MD88-770,G. bulloides,250-315,4.639793,16.001522,20.126647,0.009857,31.454740,0.126210,0.680,0.038,2.321,0.087,0.727576,0.014769
C289,2015-05,ETH-1,3.8,,,,5.814021,11.510867,16.558178,0.009263,22.360206,0.598428,2.096,0.038,-2.117,0.087,0.265398,0.014769
C290,2015-05,ETH-2,4.4,,,,-6.183269,-5.155252,-12.086682,0.010306,-10.569105,0.437131,-10.081,0.038,-18.549,0.087,0.266734,0.014769
C291,2015-05,ETH-3,4.21,,,,5.486084,11.864201,16.902293,0.010014,23.246162,0.329683,1.734,0.038,-1.767,0.087,0.681019,0.014769
C292,2015-05,ETH-4,4.28,,,,-6.238112,-5.317399,-12.109608,0.010576,-10.745877,-1.139290,-10.134,0.038,-18.709,0.087,0.508705,0.014769
C299,2015-05,ETH-2,4.83,,,,-6.198543,-5.174503,-12.134053,0.009534,-10.637636,-1.025611,-10.097,0.038,-18.568,0.087,0.250156,0.014769
E303,2017-06,ETH-1,2.23,,,,5.460131,3.059140,7.969110,0.009867,5.750767,-0.051003,2.054,0.038,-2.073,0.087,0.266170,0.014769
E304,2017-06,ETH-3,2.33,,,,5.179607,3.453905,8.420343,0.009209,6.801761,0.145184,1.741,0.038,-1.679,0.087,0.692680,0.014769
E305,2017-06,ETH-2,2.21,,,,-6.394229,-13.314197,-20.130266,0.008869,-26.315685,-0.522587,-9.980,0.038,-18.353,0.087,0.231789,0.014769
E306,2017-06,ETH-3,2.18,,,,5.151761,3.350472,8.287252,0.009289,6.442406,-0.139977,1.715,0.038,-1.782,0.087,0.689190,0.014769
E307,2017-06,ETH-1,2.21,,,,5.409032,2.900499,7.770367,0.009809,5.556698,-0.757783,2.006,0.038,-2.231,0.087,0.277743,0.014769
E308,2017-06,ETH-3,2.07,,,,5.125263,3.311188,8.232666,0.008925,6.553463,-0.851669,1.688,0.038,-1.821,0.087,0.702813,0.014769
E309,2017-06,ETH-2,2.25,,,,-6.437675,-13.439936,-20.281956,0.009751,-26.632228,-1.351281,-10.022,0.038,-18.478,0.087,0.249589,0.014769
