Sample,N,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tatlas,sTatlas
MOCOSED_CWuel,16,1.203,0.009,4.056,0.022,0.6849,0.0043,-0.90,0.10
MD04-2720_pachyD,4,1.420,0.019,3.155,0.043,0.6760,0.0075,2.00,1.60
MOCOSED_pachyS,8,0.616,0.013,2.799,0.031,0.6666,0.0055,0.20,1.20
MD12-3401_bullo,8,0.372,0.013,1.914,0.031,0.6599,0.0054,8.70,1.40
MD95-2014_bullo,8,0.037,0.013,1.863,0.031,0.6480,0.0055,8.30,1.60
MD08-3182_bullo,15,-0.237,0.010,1.760,0.022,0.6524,0.0042,6.80,2.30
MD08-3182_pachyS,4,0.597,0.019,1.699,0.043,0.6504,0.0074,6.80,2.30
MD03-2680_pachyD,4,0.460,0.019,1.663,0.043,0.6470,0.0074,8.30,1.60
2FPA1_UviMed,31,0.233,0.007,2.256,0.016,0.6486,0.0036,10.60,0.30
SU90-03_bullo,6,-0.393,0.016,1.556,0.036,0.6429,0.0063,15.40,4.20
MD08-3179_inflata200,4,0.213,0.019,0.647,0.043,0.6272,0.0075,15.90,4.80
MD08-3179_inflata250,4,0.626,0.019,0.903,0.043,0.6224,0.0073,15.90,4.80
MD08-3179_inflata315,4,0.510,0.019,1.414,0.043,0.6376,0.0074,15.90,4.80
MD08-3179_inflata355,4,0.831,0.019,1.125,0.043,0.6286,0.0074,15.90,4.80
MD08-3179_inflata400,4,0.869,0.019,1.020,0.043,0.6219,0.0073,15.90,4.80
MD08-3179_inflata450,3,1.002,0.022,1.162,0.050,0.6247,0.0085,15.90,4.80
MD08-3179_ruber,8,0.704,0.013,-0.114,0.031,0.6196,0.0053,20.40,4.80
MD08-3179_truncaD,16,0.944,0.009,1.016,0.022,0.6299,0.0041,15.90,4.80
MD08-3179_truncaS,12,1.020,0.011,1.047,0.025,0.6355,0.0046,15.90,4.80
MD12-3426_menardi,7,1.629,0.014,-0.398,0.033,0.6177,0.0058,18.10,10.10
MD12-3426_orbulina,4,2.297,0.019,-1.714,0.043,0.6039,0.0073,18.10,10.10
MD02-2577_menardi,8,1.795,0.013,-0.006,0.031,0.6093,0.0054,20.60,7.00
MD02-2577_orbulina,4,2.248,0.019,-0.527,0.043,0.6153,0.0074,20.60,7.00
MD02-2577_ruber,8,1.295,0.013,-1.399,0.031,0.5968,0.0053,25.40,4.20
MD00-2360_menardi,20,1.718,0.008,-0.439,0.019,0.6085,0.0037,22.40,2.50
MD00-2360_orbulina,8,2.130,0.013,-1.466,0.031,0.6081,0.0053,20.40,3.50
MD00-2360_ruber,7,0.962,0.014,-1.738,0.033,0.5917,0.0058,25.80,1.60
