Sample,Lat,Lon,Species,pubT,SE_pubT,Site,d13C,sd13C,d18Oc,sd18Oc,pubD47,SE_pubD47,reprocessedD47,d18Owpub,sd18Owpub,d18Ow,sd18Ow,N
A1,-13.52,-162.14,G. ruber white s.s.,25.4,0.9,SO225-53-1,1.75,0.19,29.29,0.09,0.685,0.008,0.608,0.68,0.21,0.43,0.32,17
A2,-13.52,-162.14,T. trilobus,24.6,0.9,SO225-53-1,1.85,0.20,29.47,0.16,0.682,0.007,0.603,0.71,0.21,0.43,0.32,22
A3,-13.52,-162.14,T. sacculifer,24.5,0.9,SO225-53-1,2.48,0.23,29.51,0.16,0.676,0.009,0.601,0.71,0.21,0.43,0.32,15
A4,-13.52,-162.14,P. obliquiloculata,19.1,1.1,SO225-53-1,1.50,0.14,30.68,0.26,0.678,0.008,0.601,0.72,0.20,0.43,0.32,21
A5,-13.52,-162.14,O. universa,24.0,0.9,SO225-53-1,3.17,0.20,29.62,0.24,0.672,0.009,0.597,0.68,0.21,0.43,0.32,16
A6,-13.52,-162.14,G. conglobatus,23.9,0.9,SO225-53-1,2.36,0.11,29.66,0.21,0.688,0.008,0.609,0.72,0.20,0.43,0.32,21
A7,-13.52,-162.14,G. tumida,17.3,1.1,SO225-53-1,2.28,0.17,31.03,0.27,0.688,0.009,0.611,0.61,0.25,0.43,0.32,16
B1a,14.69,-59.74,G. ruber white s.s.,27.3,0.2,SO164-25-3,1.19,0.20,28.56,0.11,0.653,0.008,0.577,0.72,0.20,0.73,0.32,20
B1c,14.69,-59.74,G. ruber white s.l.,27.3,0.2,SO164-25-3,0.67,0.20,28.64,0.13,0.683,0.008,0.605,0.81,0.20,0.73,0.32,18
B1d,14.69,-59.74,G. ruber pink,27.3,0.2,SO164-25-3,1.45,0.10,28.67,0.09,0.678,0.008,0.601,0.74,0.21,0.73,0.32,20
B2,14.69,-59.74,T. trilobus,27.0,0.4,SO164-25-3,1.38,0.24,29.01,0.17,0.666,0.008,0.591,0.98,0.23,0.73,0.32,19
B5,14.69,-59.74,P. obliquiloculata,24.2,0.8,SO164-25-3,1.23,0.15,29.99,0.10,0.664,0.008,0.590,1.13,0.20,0.73,0.32,17
B6,14.69,-59.74,G. conglobatus,25.5,0.7,SO164-25-3,2.30,0.22,29.58,0.14,0.670,0.009,0.596,1.09,0.21,0.73,0.32,16
D1,-45.12,174.58,G. bulloides,7.7,0.9,SO213-84-2,0.40,0.17,33.00,0.15,0.729,0.006,0.650,0.01,0.20,0.02,0.20,30
D2,-45.12,174.58,G. truncatulinoides,7.3,0.9,SO213-84-2,1.01,0.11,33.16,0.13,0.731,0.008,0.655,-0.01,0.20,0.02,0.20,17
D3,-45.12,174.58,G. inflata,8.1,1.0,SO213-84-2,1.24,0.06,32.87,0.10,0.729,0.008,0.652,0.04,0.20,0.02,0.20,19
E1,-11.21,58.77,G. ruber white s.s.,24.6,1.0,WIND 33B,1.59,0.12,29.13,0.08,0.686,0.008,0.607,0.40,0.20,0.26,0.21,19
E2,-11.21,58.77,T. trilobus,23.5,1.0,WIND 33B,1.67,0.13,29.36,0.08,0.671,0.007,0.593,0.32,0.21,0.26,0.21,23
E3,-11.21,58.77,T. sacculifer,23.7,1.0,WIND 33B,2.35,0.15,29.33,0.11,0.674,0.007,0.599,0.32,0.21,0.26,0.21,25
E4,-11.21,58.77,N. dutertrei,19.7,0.8,WIND 33B,1.72,0.08,30.26,0.15,0.678,0.008,0.604,0.34,0.21,0.26,0.21,20
E5,-11.21,58.77,P. obliquiloculata,20.4,0.8,WIND 33B,0.99,0.06,30.10,0.15,0.680,0.008,0.605,0.31,0.21,0.26,0.21,21
E7,-11.21,58.77,O. universa,22.8,1.0,WIND 33B,2.37,0.13,29.51,0.14,0.679,0.008,0.604,0.34,0.21,0.26,0.21,19
E8,-11.21,58.77,G. menardii,15.6,0.9,WIND 33B,1.52,0.10,31.34,0.26,0.702,0.008,0.626,0.35,0.21,0.26,0.21,20
E9,-11.21,58.77,G. tumida,14.2,0.9,WIND 33B,1.66,0.09,31.65,0.22,0.700,0.008,0.625,0.29,0.20,0.26,0.21,20
F1,23.30,66.70,N. dutertrei,23.3,0.7,CD145 A150,1.42,0.17,29.76,0.09,0.679,0.008,0.601,0.72,0.21,0.71,0.21,20
