Core,Species/Fraction,Tpub,sTpub,D47pub,sD47pub
MOCOSED,Cibicides wuellerstorfi,-1.6,0.4,0.7692,0.0037
MD04-2720,N. pachyderma (d.),-0.4,0.7,0.7623,0.0074
MOCOSED,N. pachyderma (s.),2.9,0.5,0.7490,0.0052
MD12-3401,G. bulloides,5.6,0.5,0.7413,0.0052
MD95-2014,G. bulloides,8.1,0.5,0.7289,0.0052
MD08-3182,G. bulloides,8.3,0.4,0.7339,0.0038
MD08-3182,N. pachyderma (s.),8.6,0.7,0.7336,0.0074
MD03-2680,N. pachyderma (d.),8.9,0.7,0.7300,0.0074
2FPA1,Uvigerina mediterranea,9.4,0.3,0.7269,0.0027
SU90-03,G. bulloides,12.5,0.6,0.7234,0.0060
MD08-3179,G. inflata 315–355 um,13.2,0.7,0.7208,0.0074
MD08-3179,G. inflata 450–500 um,14.3,0.8,0.7039,0.0085
MD08-3179,G. inflata 355–400 um,14.5,0.7,0.7088,0.0074
MD08-3179,G. truncatulinoides (s.),14.8,0.4,0.7156,0.0043
MD08-3179,G. inflata 400–450 um,15.0,0.7,0.7011,0.0074
MD08-3179,G. truncatulinoides (d.),15.0,0.4,0.7083,0.0037
MD08-3179,G. inflata 250–315 um,15.5,0.7,0.7028,0.0074
MD08-3179,G. inflata 200–250 um,16.7,0.7,0.7015,0.0074
MD12-3426,G. menardii menardi,17.1,0.5,0.6969,0.0056
MD02-2577,G. menardii menardi,18.3,0.5,0.6892,0.0052
MD00-2360,G. menardii menardi,18.4,0.3,0.6867,0.0033
MD08-3179,G. ruber,20.3,0.5,0.6981,0.0052
MD02-2577,Orbulina universa,20.8,0.7,0.6944,0.0074
MD12-3426,Orbulina universa,23.3,0.7,0.6798,0.0074
MD00-2360,Orbulina universa,23.4,0.5,0.6846,0.0052
MD00-2360,G. ruber,24.7,0.5,0.6677,0.0056
MD02-2577,G. ruber,25.1,0.5,0.6744,0.0052
