Site,Species,N,T,d13C,sd13C,d18Oc,sd18Oc,D47,sD47,sD47pub
13MC-G,Cibicidoides pachyderma,14,9.7,0.606,0.024,1.526,0.135,0.741,0.0089,0.008
13MC-G,Hoeglundina elegans,1,9.7,1.82,0,2.42,0,0.723,0.0332,0.000
13MC-G,Hoeglundina elegans,14,9.7,1.918,0.031,2.695,0.039,0.749,0.0089,0.014
13MC-G,Lenticulina convergens,9,9.7,-0.048,0.033,1.729,0.044,0.721,0.0111,0.011
13MC-G,Lenticulina iota,10,9.7,0.104,0.098,1.521,0.056,0.719,0.0105,0.009
13MC-G,Pyrgo serrata,10,9.7,0.564,0.047,2.533,0.027,0.729,0.0105,0.014
13MC-G,Uvigerina peregrina,15,9.7,0.087,0.014,1.835,0.011,0.735,0.0086,0.009
13MC-G,Uvigerina peregrina,33,9.7,0.239,0.118,1.481,0.164,0.736,0.0058,0.007
19MC-G,Amphisterigina radiata,15,12.7,0.279,0.062,-0.283,0.05,0.692,0.0086,0.006
19MC-G,Hoeglundina elegans,1,12.7,2,0,1.7,0,0.777,0.0332,0.000
19MC-G,Lenticulina convergens,13,12.7,-0.568,0.132,0.298,0.058,0.728,0.0092,0.010
19MC-G,Lenticulina iota,13,12.7,0.145,0.042,1.014,0.02,0.728,0.0092,0.005
19MC-G,Pyrgo spp,5,12.7,0.77,0.097,1.328,0.179,0.704,0.0149,0.021
50MC-G,Cibicidoides pachyderma,33,12.1,0.586,0.033,1.242,0.012,0.734,0.0058,0.006
50MC-G,Lenticulina convergens,11,12.1,-0.581,0.113,1.092,0.027,0.752,0.01,0.009
50MC-G,Pyrgo spp,3,12.1,0.8,0.035,1.363,0.054,0.689,0.0192,0.010
53MC-G,Cibicidoides pachyderma,14,10,0.556,0.038,1.432,0.025,0.725,0.0089,0.009
53MC-G,Lenticulina iota,43,10,-0.154,0.061,1.418,0.031,0.732,0.0051,0.004
53MC-G,Lenticulina convergens,11,10,0.041,0.084,1.594,0.043,0.74,0.01,0.010
53MC-G,Pyrgo serrata,20,10,0.43,0.081,2.439,0.021,0.765,0.0074,0.009
89MC-G,Cibicidoides pachyderma,5,17.8,1.296,0.054,0.292,0.02,0.698,0.0149,0.024
89MC-G,Hoeglundina elegans,26,17.8,1.088,0.129,-0.077,0.278,0.695,0.0065,0.007
89MC-G,Lenticulina spp,5,17.8,0.672,0.111,0.258,0.049,0.713,0.0149,0.010
89MC-G,Pyrgo spp,2,17.8,1.53,0.06,0.85,0.22,0.712,0.0235,0.013
94MC-G,Amphistegina lessoni,27,18.5,0.388,0.084,-1.814,0.18,0.679,0.0064,0.005
94MC-G,Hoeglundina elegans,21,18.5,1.354,0.072,0.532,0.105,0.695,0.0073,0.007
94MC-G,Lenticulina iota,3,18.5,-0.147,0.175,0.02,0.126,0.702,0.0192,0.027
94MC-G,Oridorsalus umbonatus,7,18.5,1.437,0.112,0.123,0.021,0.714,0.0126,0.015
94MC-G,Uvigerina peregrina,1,18.5,0.43,0,0.57,0,0.68,0.0332,0.000
GS06-144-19,Melonis barleannum,20,-0.74,-2.345,0.053,3.926,0.029,0.778,0.0074,0.008
GS07-150-17-2,Pyrgo spp,21,4.17,0.992,0.028,3.058,0.079,0.758,0.0073,0.006
GS07-150-22-1,Cibicidoides pachyderma,13,6.06,1.03,0.015,2.19,0.019,0.779,0.0092,0.013
GS07-150-22-1,Planulina ariminensis,3,6.06,1.56,0.023,1.963,0.113,0.727,0.0192,0.008
GS07-150-22-1,Pyrgo spp,42,6.06,0.814,0.058,2.347,0.108,0.747,0.0051,0.005
MP43-BC,Uvigerina mediterranea,12,13.9,0.462,0.091,2.123,0.02,0.714,0.0096,0.008
MP46-MC,Cibicidoides mundulus,11,13.9,1.54,0.037,1.631,0.016,0.742,0.01,0.010
MP46-MC,Hoeglundina elegans,1,13.9,2.04,0,2.38,0,0.716,0.0332,0.000
MP46-MC,Cibicidoides pachyderma,6,13.9,1.173,0.065,1.675,0.015,0.75,0.0136,0.010
MP46-MC,Uvigerina mediterranea,24,13.9,0.347,0.069,2.102,0.018,0.714,0.0068,0.004
MP46-MC,Melonis spp,6,13.9,0.615,0.248,1.752,0.219,0.715,0.0136,0.013
SO213-54-4,Cibicidoides pachyderma,6,1.42,0.38,0.039,2.93,0.024,0.747,0.0136,0.012
SO213-71-2,Cibicides lobatus,3,3.77,1.313,0.015,1.937,0.12,0.733,0.0192,0.006
SO213-71-2,Uvigerina peregrina,29,3.77,0.427,0.02,4.511,0.048,0.748,0.0062,0.006
