Site,Sample,ID,d13C VPDB (Final),d18O VPDB (Final),D47 I-CDES (Final)
13MC,13MC-G_Cpachyderma350,2017-09-16 00:54,0.62,1.68,0.706
,,2017-09-25 15:37,0.63,1.7,0.656
,,2017-09-25 16:41,0.54,1.56,0.651
,,2017-09-25 17:55,0.54,1.8,0.703
,,2017-09-25 22:23,0.58,1.69,0.637
,,2017-10-10 20:56,0.73,1.62,0.698
,,2017-10-10 23:48,0.67,1.58,0.632
,,2017-10-11 06:05,0.75,1.66,0.677
,,2017-10-11 12:28,0.67,1.74,0.682
,,2017-10-11 14:16,0.55,1.67,0.672
,,2017-10-12 00:05,0.64,1.55,0.68
,,2017-10-12 01:09,0.41,-0.21,0.632
,,2017-10-12 07:57,0.62,1.64,0.643
,,2017-10-12 15:03,0.53,1.68,0.617
,13MC-G_Helegans,2017-01-12 22:06,1.82,2.42,0.647
,13MC-G_Helegans350,2017-09-15 23:24,1.87,2.62,0.75
,,2017-09-16 01:25,1.87,2.51,0.742
,,2017-09-25 17:13,1.93,2.56,0.725
,,2017-09-25 21:50,1.96,2.55,0.601
,,2017-10-06 01:52,2.04,2.58,0.657
,,2017-10-06 03:14,1.93,2.58,0.708
,,2017-10-07 15:32,2.14,2.57,0.65
,,2017-10-10 20:25,1.99,2.84,0.679
,,2017-10-11 03:45,2,2.76,0.696
,,2017-10-11 10:53,1.96,2.83,0.646
,,2017-10-11 13:01,1.9,2.78,0.66
,,2018-01-20 21:05,1.82,2.81,0.614
,,2018-01-21 01:45,1.76,2.98,0.678
,,2018-01-21 06:58,1.68,2.76,0.587
,13MC-G_Lconvergens350,2018-01-05 00:00,0.04,1.76,0.629
,,2018-01-05 01:10,-0.22,1.51,0.646
,,2018-01-05 05:17,0.02,1.71,0.656
,,2018-01-05 06:25,-0.11,1.85,0.632
,,2018-01-05 07:32,0.01,1.93,0.67
,,2018-01-07 20:13,-0.06,1.6,0.64
,,2018-01-07 22:29,0.03,1.73,0.67
,,2018-01-08 02:35,0.03,1.64,0.693
,,2018-01-08 05:38,-0.17,1.83,0.583
,13MC-G_Lenticulinaiota350,2017-10-05 19:15,0.06,1.41,0.629
,,2017-10-05 20:20,-0.58,1.25,0.595
,,2017-10-05 21:24,-0.2,1.31,0.632
,,2017-10-06 00:48,0.06,1.41,0.675
,,2018-01-20 19:24,0.46,1.68,0.63
,,2018-01-20 20:31,0.33,1.65,0.669
,,2018-01-20 21:39,0.24,1.65,0.653
,,2018-01-21 02:52,0.42,1.75,0.62
,,2018-01-21 05:49,0.12,1.44,0.634
,,2018-01-21 07:59,0.13,1.66,0.682
,13MC-G_Pserata350,2017-10-10 22:32,0.22,2.49,0.643
,,2017-10-11 11:25,0.65,2.56,0.674
,,2017-10-11 13:44,0.48,2.46,0.677
,,2017-10-12 06:22,0.63,2.63,0.74
,,2017-10-12 12:12,0.51,2.39,0.607
,,2018-01-04 22:52,0.64,2.64,0.665
,,2018-01-05 04:42,0.77,2.57,0.615
,,2018-01-05 06:58,0.52,2.47,0.655
,,2018-01-07 19:39,0.57,2.49,0.643
,,2018-01-08 02:00,0.65,2.63,0.611
