Site,Region,Lat,Lon,Depth,AgeBP,T,Mg/Ca,Ref
13MC-G,Bahamas,24.37,-83.24,348,3040,9.7,2.39,Marchitto et al. (2007)
19MC-G,Bahamas,24.42,-83.21,173,1320,12.7,2.41,Marchitto et al. (2007)
50MC-G,Bahamas,24.41,-83.22,198,1080,12.1,2.43,Marchitto et al. (2007)
53MC-G,Bahamas,24.38,-83.23,302,1800,10,2.28,Marchitto et al. (2007)
89MC-G,Bahamas,24.56,-79.24,353,2280,17.8,3.44,Marchitto et al. (2007)
94MC-G,Bahamas,24.57,-79.23,259,215,18.5,3.41,Marchitto et al. (2007)
GS06-144-19,Norwegian Sea,63.83,5.27,830,,-0.74,,O.A.
GS07-150-17-2,Brazil,-4.47,-37.21,1000,796,4.17,1.91,Tisserand et al. (2013)
GS07-150-22-1,Brazil,-4.33,-37.16,598,2897,6.06,2.47,Tisserand et al. (2013)
MP43-BC,Mediterranean,39.72,16.97,246,,13.9,,Grauel et al. (2013)
MP46-MC,Mediterranean,39.54,17.25,582,,13.9,,Grauel et al. (2013)
SO213-54-4,Eastern Pacific,-43.72,-120.67,3840,,1.42,,O.A.
SO213-71-2,Western Pacific,-45.58,-157.9,689,,3.77,,World Ocean Atlas 2009 volume 1: Temperature (2010)
