Site,Lat,Lon,Depth,Ref
MOCOSED,73.04,-11.93,1839,Peral et al. (2018)
MD04-2720,-49.13,71.36,750,Peral et al. (2018)
MD12-3401,-44.69,80.40,3445,Peral et al. (2018)
MD95-2014,60.59,-22.08,2397,Peral et al. (2018)
MD08-3182,52.71,-35.94,1355,Peral et al. (2018)
MD03-2680,61.06,-24.55,1812,Peral et al. (2018)
2FPA1,43.67,-2.00,664,Peral et al. (2018)
SU90-03,40.05,-30.00,2475,Peral et al. (2018)
MD08-3179,37.86,-30.30,2036,Peral et al. (2018)
MD12-3426,19.73,114.61,3630,Peral et al. (2018)
MD00-2360,-20.08,112.67,980,Peral et al. (2018)
MD02-2577,28.84,-86.67,4076,Peral et al. (2018)
13MC-G,24.37,-83.24,348,Piasecki et al. (2019)
19MC-G,24.42,-83.21,173,Piasecki et al. (2019)
50MC-G,24.41,-83.22,198,Piasecki et al. (2019)
53MC-G,24.38,-83.23,302,Piasecki et al. (2019)
89MC-G,24.56,-79.24,353,Piasecki et al. (2019)
94MC-G,24.57,-79.23,259,Piasecki et al. (2019)
GS06-144-19,63.83,5.27,830,Piasecki et al. (2019)
GS07-150-17-2,-4.47,-37.21,1000,Piasecki et al. (2019)
GS07-150-22-1,-4.33,-37.16,598,Piasecki et al. (2019)
MP43-BC,39.72,16.97,246,Piasecki et al. (2019)
MP46-MC,39.54,17.25,582,Piasecki et al. (2019)
SO213-54-4,-43.72,-120.67,3840,Piasecki et al. (2019)
SO213-71-2,-45.58,-157.90,689,Piasecki et al. (2019)
GS15-198-63MC,70.5,-2.8,2995,Meinicke et al. (2020)
GS15-198-38MC,70.1,-17.7,1610,Meinicke et al. (2020)
GS15-198-62MC,70.0,-13.6,1423,Meinicke et al. (2020)
GS06-144-19MC,63.8,5.2,922,Meinicke et al. (2020)
CD107 A ML 5A,52.9,-16.9,3569,Meinicke et al. (2020)
CD94 17B,48.9,-11.8,1484,Meinicke et al. (2020)
KL88,34.8,-27.7,2060,Meinicke et al. (2020)
CD145 A150,23.3,66.7,151,Meinicke et al. (2020)
SO164-25-3,14.7,-59.7,2720,Meinicke et al. (2020)
OJP2016 MW0691 1.5BC11,-1.0,157.8,2016,Meinicke et al. (2020)
WIND 33B,-11.2,58.8,2871,Meinicke et al. (2020)
SO225-53-1,-13.5,-162.1,3154,Meinicke et al. (2020)
SO213-84-2,-45.1,174.6,992,Meinicke et al. (2020)
