Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Hoeglundina elegans,20.1,0.90,1.16,Grossman & Ku (1986),benthic
Hoeglundina elegans,18.5,0.90,0.94,Grossman & Ku (1986),benthic
Hoeglundina elegans,18.5,0.90,0.66,Grossman & Ku (1986),benthic
Hoeglundina elegans,16.9,0.90,1.18,Grossman & Ku (1986),benthic
Uvigerina flintii,16.9,0.90,1.02,Grossman & Ku (1986),benthic
Hoeglundina elegans,15.3,0.80,2.02,Grossman & Ku (1986),benthic
Hoeglundina elegans,15.3,0.80,1.92,Grossman & Ku (1986),benthic
Hoeglundina elegans,15.3,0.80,2.01,Grossman & Ku (1986),benthic
Uvigerina flintii,15.3,0.80,1.12,Grossman & Ku (1986),benthic
Uvigerina flintii,15.3,0.80,0.97,Grossman & Ku (1986),benthic
Hoeglundina elegans,15.0,0.50,2.18,Grossman & Ku (1986),benthic
Hoeglundina elegans,13.0,0.50,1.19,Grossman & Ku (1986),benthic
Hoeglundina elegans,13.0,0.50,1.55,Grossman & Ku (1986),benthic
Uvigerina flintii,13.0,0.50,1.43,Grossman & Ku (1986),benthic
Hoeglundina elegans,12.0,0.30,2.12,Grossman & Ku (1986),benthic
Uvigerina peregrina,12.0,0.30,1.05,Grossman & Ku (1986),benthic
Hoeglundina elegans,10.5,-0.30,2.10,Grossman & Ku (1986),benthic
Hoeglundina elegans,9.5,-0.30,2.37,Grossman & Ku (1986),benthic
Hoeglundina elegans,9.5,-0.30,2.40,Grossman & Ku (1986),benthic
Hoeglundina elegans,9.5,-0.30,2.34,Grossman & Ku (1986),benthic
Hoeglundina elegans,9.1,-0.30,2.47,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.8,-0.30,2.69,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.7,-0.30,2.35,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.7,-0.30,2.35,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.4,-0.20,2.69,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.4,-0.20,2.65,Grossman & Ku (1986),benthic
Hoeglundina elegans,8.4,0.10,2.65,Grossman & Ku (1986),benthic
Uvigerina peregrina,8.4,0.10,2.30,Grossman & Ku (1986),benthic
Hoeglundina elegans,7.8,-0.30,2.40,Grossman & Ku (1986),benthic
Hoeglundina elegans,7.8,-0.30,2.64,Grossman & Ku (1986),benthic
Uvigerina curticosta,6.8,-0.3,2.30,Grossman & Ku (1986),benthic
Uvigerina curticosta,6.8,-0.3,2.40,Grossman & Ku (1986),benthic
Uvigerina curticosta,6.4,-0.3,2.47,Grossman & Ku (1986),benthic
Hoeglundina elegans,6.1,0.0,3.26,Grossman & Ku (1986),benthic
Hoeglundina elegans,6.1,0.0,2.89,Grossman & Ku (1986),benthic
Uvigerina peregrina,6.1,0.0,2.40,Grossman & Ku (1986),benthic
Uvigerina peregrina,6.1,0.0,2.75,Grossman & Ku (1986),benthic
Hoeglundina elegans,5.5,0.0,3.47,Grossman & Ku (1986),benthic
Hoeglundina elegans,5.5,0.0,3.45,Grossman & Ku (1986),benthic
Hoeglundina elegans,5.5,0.0,3.39,Grossman & Ku (1986),benthic
Uvigerina peregrina,5.5,0.0,2.90,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.5,0.1,3.79,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.5,0.1,3.67,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.5,0.1,3.75,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.3,-0.2,3.60,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.3,-0.2,3.54,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.3,-0.2,3.92,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.3,-0.2,3.53,Grossman & Ku (1986),benthic
Uvigerina curticosta,4.3,-0.2,2.97,Grossman & Ku (1986),benthic
Uvigerina curticosta,4.3,-0.2,2.86,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.1,0.1,3.60,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.0,-0.2,3.63,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.0,-0.2,3.39,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.0,-0.2,3.63,Grossman & Ku (1986),benthic
Hoeglundina elegans,4.0,-0.2,3.52,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,4.12,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.59,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.65,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.75,Grossman & Ku (1986),benthic
Uvigerina curticosta,3.9,-0.2,3.02,Grossman & Ku (1986),benthic
Uvigerina curticosta,3.9,-0.2,2.96,Grossman & Ku (1986),benthic
Uvigerina curticosta,3.9,-0.2,2.87,Grossman & Ku (1986),benthic
Uvigerina peregrina,3.9,-0.2,2.97,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.38,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.23,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.62,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.60,Grossman & Ku (1986),benthic
Hoeglundina elegans,3.9,-0.2,3.49,Grossman & Ku (1986),benthic
Hoeglundina elegans,2.7,-0.3,3.85,Grossman & Ku (1986),benthic
Uvigerina peregrina,2.7,-0.3,3.24,Grossman & Ku (1986),benthic
Hoeglundina elegans,2.6,-0.3,3.93,Grossman & Ku (1986),benthic
Uvigerina peregrina,2.6,-0.3,3.01,Grossman & Ku (1986),benthic
Globigerinoides trilobus [fine],22.23,0.24,-1.59,Lončarić et al. (2006),planktic
