Species,T,d18Osw_VSMOW,d18Oc
Hoeglundina elegans,20.1,0.90,1.16
Hoeglundina elegans,18.5,0.90,0.94
Hoeglundina elegans,18.5,0.90,0.66
# Uvigerina flintii,18.5,0.90,-0.02
Hoeglundina elegans,16.9,0.90,1.18
Uvigerina flintii,16.9,0.90,1.02
Hoeglundina elegans,15.3,0.80,2.02
Hoeglundina elegans,15.3,0.80,1.92
Hoeglundina elegans,15.3,0.80,2.01
Uvigerina flintii,15.3,0.80,1.12
Uvigerina flintii,15.3,0.80,0.97
Hoeglundina elegans,15.0,0.50,2.18
# Uvigerina peregrina,15.0,0.50,1.87
Hoeglundina elegans,13.0,0.50,1.19
Hoeglundina elegans,13.0,0.50,1.55
Uvigerina flintii,13.0,0.50,1.43
Hoeglundina elegans,12.0,0.30,2.12
Uvigerina peregrina,12.0,0.30,1.05
Hoeglundina elegans,10.5,-0.30,2.10
Hoeglundina elegans,9.5,-0.30,2.37
Hoeglundina elegans,9.5,-0.30,2.40
Hoeglundina elegans,9.5,-0.30,2.34
Hoeglundina elegans,9.1,-0.30,2.47
Hoeglundina elegans,8.8,-0.30,2.69
Hoeglundina elegans,8.7,-0.30,2.35
Hoeglundina elegans,8.7,-0.30,2.35
Hoeglundina elegans,8.4,-0.20,2.69
Hoeglundina elegans,8.4,-0.20,2.65
Hoeglundina elegans,8.4,0.10,2.65
Uvigerina peregrina,8.4,0.10,2.30
Hoeglundina elegans,7.8,-0.30,2.40
Hoeglundina elegans,7.8,-0.30,2.64
Uvigerina curticosta,6.8,-0.3,2.30
Uvigerina curticosta,6.8,-0.3,2.40
Uvigerina curticosta,6.4,-0.3,2.47
Hoeglundina elegans,6.1,0.0,3.26
Hoeglundina elegans,6.1,0.0,2.89
Uvigerina peregrina,6.1,0.0,2.40
Uvigerina peregrina,6.1,0.0,2.75
Hoeglundina elegans,5.5,0.0,3.47
Hoeglundina elegans,5.5,0.0,3.45
Hoeglundina elegans,5.5,0.0,3.39
Uvigerina peregrina,5.5,0.0,2.90
Hoeglundina elegans,4.5,0.1,3.79
Hoeglundina elegans,4.5,0.1,3.67
Hoeglundina elegans,4.5,0.1,3.75
Hoeglundina elegans,4.3,-0.2,3.60
Hoeglundina elegans,4.3,-0.2,3.54
Hoeglundina elegans,4.3,-0.2,3.92
Hoeglundina elegans,4.3,-0.2,3.53
Uvigerina curticosta,4.3,-0.2,2.97
Uvigerina curticosta,4.3,-0.2,2.86
Hoeglundina elegans,4.1,0.1,3.60
Hoeglundina elegans,4.0,-0.2,3.63
Hoeglundina elegans,4.0,-0.2,3.39
Hoeglundina elegans,4.0,-0.2,3.63
Hoeglundina elegans,4.0,-0.2,3.52
Hoeglundina elegans,3.9,-0.2,4.12
Hoeglundina elegans,3.9,-0.2,3.59
Hoeglundina elegans,3.9,-0.2,3.65
Hoeglundina elegans,3.9,-0.2,3.75
Uvigerina curticosta,3.9,-0.2,3.02
Uvigerina curticosta,3.9,-0.2,2.96
Uvigerina curticosta,3.9,-0.2,2.87
Uvigerina peregrina,3.9,-0.2,2.97
Hoeglundina elegans,3.9,-0.2,3.38
Hoeglundina elegans,3.9,-0.2,3.23
Hoeglundina elegans,3.9,-0.2,3.62
Hoeglundina elegans,3.9,-0.2,3.60
Hoeglundina elegans,3.9,-0.2,3.49
Hoeglundina elegans,2.7,-0.3,3.85
Uvigerina peregrina,2.7,-0.3,3.24
Hoeglundina elegans,2.6,-0.3,3.93
Uvigerina peregrina,2.6,-0.3,3.01
