Core,Depth,T,Salinity,d18Osw_VSMOW,d18O_Uvigerina,d18O_Cibicidoides
Nes GGC-27,995,2.28,34.23,-0.19,2.95,
Nes BC-32,1000,2.31,34.28,-0.17,3.33,2.71
B34-91,1227,2.27,34.39,-0.13,3.25,
Nes GGC-20,1510,2.13,34.47,-0.1,3.15,
Vema 32161,1600,2.10,34.50,-0.09,3.16,
Nes GGC-18,1700,2.08,34.52,-0.08,3.19,
Nes GGC-15,1980,1.97,34.55,-0.07,3.21,
Nes GGC-15,1980,1.97,34.55,,,2.77
RNDB GGC-26,2335,1.74,34.63,-0.04,3.21,2.91
RNDB GGC-1,2393,1.72,34.64,-0.04,3.25,3.04
RNDB GGC-2,2507,1.50,34.68,-0.02,3.31,3.01
RNDB GGC-3,2610,1.50,34.68,-0.02,3.13,2.83
RNDB GGC-27,2695,1.50,34.68,-0.02,3.68,
RNDB GGC-5,2804,1.69,34.67,-0.03,3.26,3.07
RNDB GGC-6,2920,1.66,34.68,-0.02,3.24,2.78
Vinogr BC-26,2970,1.64,34.68,-0.02,3.22,2.91
RAMA PC-44,2980,1.62,34.68,-0.02,3.31,
RNDB GGC-7,3041,1.59,34.68,-0.02,3.36,2.94
RNDB GGC-8,3160,1.57,34.68,-0.02,3.07,3.05
RNDB PC-11,3225,1.57,34.64,-0.04,3.26,3.02
RNDB GGC-11,3296,1.56,34.65,-0.03,3.29,2.98
Vinogr GGC-37,3300,1.55,34.65,-0.03,3.27,3.00
RNDB GG12,3416,1.53,34.66,-0.03,3.29,2.91
RNDB GGC-13,3516,1.53,34.66,-0.03,3.32,2.92
RNDB GGC-14,3631,1.53,34.66,-0.03,3.41,2.97
VinogrGGC-17,3670,1.52,34.66,-0.03,,3.00
Vinogr GGC-17,3700,1.51,34.67,-0.03,,2.79
VinogrGGC-17,3816,1.50,34.67,-0.03,3.46,2.80
Vinogr GGC-35,3960,1.50,34.67,-0.03,3.36,
RNDB GGC-15,3960,1.50,34.67,-0.03,,2.74
RNDB GGC-16,3960,1.50,34.68,-0.02,3.36,2.69
