Core,Lat,Lon,Depth,T,Salinity,d18Osw_VSMOW,d18O_H_elegans
W120A-27G,,,49,25.6,36.52,1.12,-0.71
W120A-24G,26.42,77.93,129,23.2,36.77,1.25,0.62
W120A-23G,26.59,77.93,169,21.8,36.77,1.25,0.76
W120A-21G,26.59,77.94,199,20.8,36.76,1.25,0.9
W120A-20G,26.59,77.94,218,20.5,36.75,1.24,1.02
W120A-18G,26.58,77.95,281,18.6,36.56,1.14,1.28
W120A-19G,26.57,77.97,281,18.6,36.56,1.14,1.39
W120A-17G,26.58,77.96,298,18.2,36.52,1.12,1.3
W120A-16G,26.57,77.97,322,17.9,36.47,1.09,1.30
W120A-15G,26.57,77.97,334,17.7,36.45,1.08,1.46
W120A-14G,26.57,77.97,343,17.7,36.44,1.07,1.36
W120A-12G,26.57,77.97,368,17.2,36.37,1.03,1.26
W120A-11G,26.56,77.970,379,17.1,36.35,1.02,1.41
W120A-10G,26.56,77.970,383,17.0,36.34,1.02,1.51
W120A-09G,,,386,16.9,36.32,1.01,1.51
W120A-08G,,,394,16.8,36.31,1.00,1.42
W120A-06G,,,413,16.3,36.22,0.95,1.49
OC205-2-149JPC,26.26,77.67,423,16.1,36.20,0.94,1.35
OC205-2-148GGC,26.26,77.67,434,15.9,36.16,0.92,1.60
W120A-05G,,,450,15.6,36.12,0.90,1.64
OC205-2-48BC,26.24,77.68,595,12.7,35.66,0.65,1.92
OC205-2-74BC,,,595,12.7,35.66,0.65,2.18
OC205-2-106GGC,25.98,78.18,654,11.7,35.52,0.57,2.53
OC205-2-69BC,26.23,77.69,735,10.0,35.32,0.46,2.62
OC205-2-108GGC,25.98,78.18,743,9.8,35.29,0.45,2.51
OC205-2-50BC,26.23,77.70,817,8.4,35.16,0.37,2.96
OC205-2-144JPC,,,833,8.1,35.14,0.36,2.82
OC205-2-70BC,26.22,77.70,876,7.6,35.13,0.36,3.24
OC205-2-98GGC,,,879,7.6,35.13,0.36,3.09
OC205-2-72BC,26.23,77.71,908,7.0,35.11,0.35,3.46
OC205-2-103GGC,26.07,78.06,965,6.1,35.08,0.33,3.38
OC205-2-53BC,,,1038,5.5,35.05,0.31,3.44
OC205-2-100GGC,,,1057,5.3,35.05,0.31,3.46
OC205-2-55BC,26.03,77.88,1140,4.9,35.03,0.30,3.51
OC205-2-97JPC,26.17,77.71,1183,4.8,35.02,0.30,3.52
OC205-2-7JPC,25.94,77.85,1320,4.4,35.00,0.29,3.54
OC205-2-67BC,26.14,77.74,1392,4.3,34.99,0.28,3.63
OC205-2-59BC,26.15,77.74,1477,4.2,34.99,0.28,3.64
OC205-2-117JPC,26.17,77.74,1535,4.1,34.98,0.28,3.78
