T,d18Osw_VSMOW,Species,d18Oc,Ref
7.0,-4.36,Bulimina aculeata,-2.08,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.34,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.33,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.24,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.34,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.33,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.32,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-1.85,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.20,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.17,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.34,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.35,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.46,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.48,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.31,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.44,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.41,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.43,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.42,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.43,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.41,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.40,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.35,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.41,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.45,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.43,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.40,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.26,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.44,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.41,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.52,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.48,McCorkle et al. (2008)
7.0,-4.36,Bulimina aculeata,-2.43,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.27,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.12,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.22,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.23,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.21,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.21,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.37,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.38,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.37,McCorkle et al. (2008)
7.0,-3.39,Bulimina aculeata,-1.35,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.61,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.70,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.70,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.61,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.58,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.74,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.66,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.65,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.61,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.76,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.81,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.65,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.91,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.69,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.63,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.60,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.51,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.43,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.50,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.54,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.77,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.95,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.64,McCorkle et al. (2008)
7.0,-3.39,Rosalina vilardeboana,-1.74,McCorkle et al. (2008)
