Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
FP 29,1.85 ,-42.31 ,G. ruber (w),250-350,0.53 ,-2.18 ,3.5,27.4 ,0.94 ,M38/2,Pump,-2.85 ,estimated,this work
FP 34,4.34 ,-41.99 ,G. ruber (w),250-350,0.80 ,-2.17 ,3.5,27.4 ,0.94 ,M38/2,Pump,-2.84 ,estimated,this work
FP 36,3.68 ,-44.01 ,G. ruber (w),300-400,1.07 ,-2.19 ,3.5,27.4 ,0.94 ,M38/2,Pump,-2.86 ,estimated,this work
FP 37,4.39 ,-44.85 ,G. ruber (w),250-350,0.88 ,-2.18 ,3.5,27.3 ,0.88 ,M38/2,Pump,-2.79 ,measured,this work
FP 38,3.67 ,-46.72 ,G. ruber (w),250-350,1.05 ,-2.10 ,3.5,27.2 ,0.84 ,M38/2,Pump,-2.67 ,measured,this work
FP 39,3.67 ,-45.24 ,G. ruber (w),250-350,0.93 ,-2.22 ,3.5,27.2 ,0.85 ,M38/2,Pump,-2.80 ,measured,this work
FP 40,4.06 ,-44.43 ,G. ruber (w),250-350,1.07 ,-2.21 ,3.5,27.1 ,0.86 ,M38/2,Pump,-2.80 ,measured,this work
FP 41,6.48 ,-44.01 ,G. ruber (w),250-350,0.79 ,-2.28 ,3.5,26.9 ,0.85 ,M38/2,Pump,-2.86 ,measured,this work
FP 42,5.19 ,-44.38 ,G. ruber (w),250-350,0.95 ,-2.10 ,3.5,26.9 ,0.82 ,M38/2,Pump,-2.65 ,measured,this work
FP 43,5.72 ,-44.36 ,G. ruber (w),250-350,0.87 ,-2.47 ,3.5,27.0 ,0.92 ,M38/2,Pump,-3.12 ,measured,this work
FP 44,5.85 ,-44.98 ,G. ruber (w),250-350,1.09 ,-2.19 ,3.5,26.9 ,0.88 ,M38/2,Pump,-2.79 ,measured,this work
FP 45,5.14 ,-46.58 ,G. ruber (w),250-350,0.94 ,-2.24 ,3.5,27.1 ,0.96 ,M38/2,Pump,-2.93 ,estimated,this work
FP 46,4.88 ,-47.67 ,G. ruber (w),250-350,0.96 ,-2.30 ,3.5,27.1 ,0.90 ,M38/2,Pump,-2.93 ,measured,this work
FP 48,8.76 ,-52.04 ,G. ruber (w),250-400,0.97 ,-2.14 ,3.5,26.5 ,0.97 ,M38/2,Pump,-2.84 ,measured,this work
FP 49,9.68 ,-54.26 ,G. ruber (w),250-350,0.62 ,-2.21 ,3.5,26.9 ,0.94 ,M38/2,Pump,-2.88 ,estimated,this work
FP 50,11.18 ,-52.49 ,G. ruber (w),250-400,0.63 ,-2.08 ,3.5,25.8 ,1.07 ,M38/2,Pump,-2.88 ,measured,this work
FP 54,18.20 ,-44.00 ,G. ruber (w),250-400,0.92 ,-1.73 ,3.5,24.2 ,1.00 ,M38/2,Pump,-2.46 ,estimated,this work
Tab1/1,-29.70 ,-47.27 ,G. ruber (w),200-400,0.41 ,-1.56 ,0,24.0 ,1.18 ,Tabia 1,Tow,-2.47 ,estimated,this work
Tab2/3,-35.00 ,-51.20 ,G. ruber (w),200-350,0.41 ,-1.24 ,0-50,22.5 ,0.99 ,Tabia 2,Tow,-1.96 ,estimated,this work
Tab2/2,-34.00 ,-51.00 ,G. ruber (w),150-350,0.41 ,-1.40 ,5-30,22.1 ,0.99 ,Tabia 2,Tow,-2.12 ,estimated,this work
Tab2/7,-37.53 ,-51.77 ,G. ruber (w),200-500,1.01 ,-1.14 ,0-30,20.7 ,0.80 ,Tabia 2,Tow,-1.67 ,estimated,this work
10-5,-28.01 ,78.30 ,G. ruber (w),150-250,-0.39 ,-1.24 ,0-80,20.0 ,0.62 ,Osiris II-MD 10,Tow,-1.59 ,estimated,Duplessy et al. 1981
10-7,-23.92 ,77.64 ,G. ruber (w),150-250,0.72 ,-1.78 ,0-80,22.6 ,0.48 ,Osiris II-MD 10,Tow,-1.99 ,estimated,Duplessy et al. 1981
10-7,-23.92 ,77.64 ,G. ruber (w),150-250,-1.70 ,-1.78 ,0-80,22.6 ,0.48 ,Osiris II-MD 10,Tow,-1.99 ,estimated,Duplessy et al. 1981
10-8,-21.07 ,77.31 ,G. ruber (w),150-250,-0.08 ,-1.76 ,0-80,23.0 ,0.48 ,Osiris II-MD 10,Tow,-1.97 ,estimated,Duplessy et al. 1981
10-9,-19.13 ,77.11 ,G. ruber (w),150-250,-0.22 ,-2.16 ,0-75,24.2 ,0.60 ,Osiris II-MD 10,Tow,-2.49 ,estimated,Duplessy et al. 1981
10-9,-19.13 ,77.11 ,G. ruber (w),>250,0.58 ,-2.01 ,0-75,24.2 ,0.60 ,Osiris II-MD 10,Tow,-2.34 ,estimated,Duplessy et al. 1981
10-10,-16.54 ,76.74 ,G. ruber (w),150-250,0.48 ,-2.34 ,0-80,25.6 ,0.33 ,Osiris II-MD 10,Tow,-2.40 ,estimated,Duplessy et al. 1981
10-10,-16.54 ,76.74 ,G. ruber (w),>250,0.58 ,-2.47 ,0-80,25.6 ,0.33 ,Osiris II-MD 10,Tow,-2.53 ,estimated,Duplessy et al. 1981
