Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
FP 26,1.85 ,-42.31 ,G. sacc.,250-350,1.09 ,-2.23 ,5,27.4 ,0.94 ,M38/2,Pump,-2.90 ,estimated,this work
FP 31,4.75 ,-43.77 ,G. sacc.,250-350,1.16 ,-2.20 ,5,27.0 ,0.94 ,M38/2,Pump,-2.87 ,estimated,this work
FP 34,4.34 ,-41.99 ,G. sacc.,250-350,1.31 ,-2.11 ,5,27.4 ,0.94 ,M38/2,Pump,-2.78 ,measured,this work
FP 35,3.80 ,-41.97 ,G. sacc.,250-350,1.20 ,-2.24 ,5,27.3 ,0.94 ,M38/2,Pump,-2.91 ,estimated,this work
FP 36,3.68 ,-44.01 ,G. sacc.,250-350,1.65 ,-2.11 ,5,27.4 ,0.94 ,M38/2,Pump,-2.78 ,estimated,this work
FP 37,4.39 ,-44.85 ,G. sacc.,250-350,1.45 ,-2.15 ,5,27.3 ,0.88 ,M38/2,Pump,-2.76 ,measured,this work
FP 38,3.67 ,-46.72 ,G. sacc.,250-350,1.32 ,-2.18 ,5,27.2 ,0.84 ,M38/2,Pump,-2.75 ,measured,this work
FP 39,3.67 ,-45.24 ,G. sacc.,250-350,1.58 ,-2.05 ,5,27.2 ,0.85 ,M38/2,Pump,-2.62 ,measured,this work
FP 40,4.06 ,-44.43 ,G. sacc.,250-350,1.49 ,-2.16 ,5,27.1 ,0.86 ,M38/2,Pump,-2.75 ,measured,this work
FP 41,6.48 ,-44.01 ,G. sacc.,250-350,1.33 ,-2.03 ,5,26.9 ,0.85 ,M38/2,Pump,-2.61 ,measured,this work
FP 42,5.19 ,-44.38 ,G. sacc.,250-350,1.30 ,-2.20 ,5,26.9 ,0.82 ,M38/2,Pump,-2.76 ,measured,this work
FP 43,5.72 ,-44.36 ,G. sacc.,250-350,1.56 ,-1.99 ,5,27.0 ,0.92 ,M38/2,Pump,-2.64 ,measured,this work
FP 44,5.85 ,-44.98 ,G. sacc.,250-350,1.56 ,-1.96 ,5,26.9 ,0.88 ,M38/2,Pump,-2.57 ,measured,this work
FP 45,5.14 ,-46.58 ,G. sacc.,250-350,1.57 ,-2.22 ,5,27.1 ,1.16 ,M38/2,Pump,-3.11 ,measured,this work
FP 46,4.88 ,-47.67 ,G. sacc.,250-350,1.49 ,-2.10 ,5,27.1 ,0.90 ,M38/2,Pump,-2.73 ,measured,this work
FP 47,6.97 ,-48.10 ,G. sacc.,250-350,1.17 ,-2.16 ,5,26.6 ,0.90 ,M38/2,Pump,-2.79 ,measured,this work
FP 48,8.76 ,-52.04 ,G. sacc.,250-350,1.64 ,-2.02 ,5,26.5 ,0.97 ,M38/2,Pump,-2.72 ,measured,this work
FP 50,11.18 ,-52.49 ,G. sacc.,250-350,0.75 ,-1.96 ,5,25.8 ,1.07 ,M38/2,Pump,-2.75 ,measured,this work
FP 51,14.13 ,-49.10 ,G. sacc.,250-350,0.81 ,-1.90 ,5,25.2 ,1.08 ,M38/2,Pump,-2.72 ,measured,this work
FP 53,17.46 ,-45.64 ,G. sacc.,250-350,1.32 ,-2.20 ,5,24.6 ,1.13 ,M38/2,Pump,-3.06 ,measured,this work
Tab1/14,-33.98 ,-51.24 ,G. sacc.,250-450,0.93 ,-0.59 ,0-150,18.2 ,0.63 ,TABIA 1,Tow,-0.95 ,estimated,this work
Tab2/3,-35.00 ,-51.20 ,G. sacc.,200-350,0.65 ,-1.01 ,0-50,22.5 ,0.89 ,TABIA 2,Tow,-1.63 ,estimated,this work
10-7,-23.92 ,77.64 ,G. sacc.,150-250,-0.56,-1.73 ,0-80,22.6 ,0.48 ,Osiris II-MD 10,Tow,-1.94 ,estimated,Duplessy et al. 1981
10-8,-21.07 ,77.31 ,G. sacc.,150-250,0.09,-1.82 ,0-80,23.0 ,0.48 ,Osiris II-MD 10,Tow,-2.03 ,estimated,Duplessy et al. 1981
