Species,T,d18Osw_VSMOW,d18Oc
Globigerinoides sacculifer,27.4 ,0.94 ,-2.23 
Globigerinoides sacculifer,27.0 ,0.94 ,-2.20 
Globigerinoides sacculifer,27.4 ,0.94 ,-2.11 
Globigerinoides sacculifer,27.3 ,0.94 ,-2.24 
Globigerinoides sacculifer,27.4 ,0.94 ,-2.11 
Globigerinoides sacculifer,27.3 ,0.88 ,-2.15 
Globigerinoides sacculifer,27.2 ,0.84 ,-2.18 
Globigerinoides sacculifer,27.2 ,0.85 ,-2.05 
Globigerinoides sacculifer,27.1 ,0.86 ,-2.16 
Globigerinoides sacculifer,26.9 ,0.85 ,-2.03 
Globigerinoides sacculifer,26.9 ,0.82 ,-2.20 
Globigerinoides sacculifer,27.0 ,0.92 ,-1.99 
Globigerinoides sacculifer,26.9 ,0.88 ,-1.96 
Globigerinoides sacculifer,27.1 ,1.16 ,-2.22 
Globigerinoides sacculifer,27.1 ,0.90 ,-2.10 
Globigerinoides sacculifer,26.6 ,0.90 ,-2.16 
Globigerinoides sacculifer,26.5 ,0.97 ,-2.02 
Globigerinoides sacculifer,25.8 ,1.07 ,-1.96 
Globigerinoides sacculifer,25.2 ,1.08 ,-1.90 
Globigerinoides sacculifer,24.6 ,1.13 ,-2.20 
Globigerinoides sacculifer,18.2 ,0.63 ,-0.59 
Globigerinoides sacculifer,22.5 ,0.89 ,-1.01 
Globigerinoides sacculifer,22.6 ,0.48 ,-1.73 
Globigerinoides sacculifer,23.0 ,0.48 ,-1.82 
Globigerinoides sacculifer,24.2 ,0.60 ,-2.10 
Globigerinoides sacculifer,24.2 ,0.60 ,-2.25 
Globigerinoides sacculifer,25.6 ,0.33 ,-2.23 
Globigerinoides sacculifer,25.6 ,0.33 ,-2.27 
Globigerinoides sacculifer,26.6 ,0.33 ,-2.55 
Globigerinoides sacculifer,26.6 ,0.33 ,-2.44 
Globigerinoides sacculifer,26.6 ,0.33 ,-2.54 
Globigerinoides sacculifer,27.0 ,0.29 ,-2.67 
Globigerinoides sacculifer,28.7 ,0.38 ,-2.86 
Globigerinoides sacculifer,28.7 ,0.38 ,-3.01 
Globigerinoides sacculifer,28.7 ,0.38 ,-3.06 
Globigerinoides sacculifer,28.6 ,0.32 ,-3.06 
Globigerinoides sacculifer,28.6 ,0.32 ,-2.99 
Globigerinoides sacculifer,28.6 ,0.32 ,-2.74 
Globigerinoides sacculifer,28.8 ,0.39 ,-2.93 
Globigerinoides sacculifer,28.8 ,0.39 ,-3.02 
Globigerinoides sacculifer,28.8 ,0.39 ,-3.32 
Globigerinoides sacculifer,28.8 ,0.39 ,-2.97 
Globigerinoides sacculifer,28.3 ,0.48 ,-2.50 
Globigerinoides sacculifer,28.3 ,0.48 ,-2.63 
Globigerinoides sacculifer,28.4 ,0.51 ,-2.69 
Globigerinoides sacculifer,28.4 ,0.51 ,-2.79 
Globigerinoides sacculifer,28.8 ,0.54 ,-2.64 
Globigerinoides sacculifer,28.8 ,0.54 ,-3.28 
Globigerinoides sacculifer,28.8 ,0.54 ,-2.94 
Globigerinoides sacculifer,29.0 ,0.66 ,-2.84 
Globigerinoides sacculifer,27.7 ,0.26 ,-3.00 
Globigerinoides sacculifer,27.6 ,0.10 ,-2.93 
Globigerinoides sacculifer,27.6 ,0.10 ,-2.65 
Globigerinoides sacculifer,27.3 ,0.30 ,-3.47 
Globigerinoides sacculifer,27.7 ,0.25 ,-2.99 
Globigerinoides sacculifer,27.7 ,0.25 ,-3.16 
Globigerinoides sacculifer,28.3 ,0.10 ,-3.36 
Globigerinoides sacculifer,29.5 ,0.30 ,-3.10 
Globigerinoides sacculifer,28.9 ,0.35 ,-2.50 
Globigerinoides sacculifer,28.9 ,0.35 ,-3.04 
Globigerinoides sacculifer,28.9 ,0.35 ,-2.92 
Globigerinoides sacculifer,30.6 ,0.57 ,-3.03 
Globigerinoides sacculifer,31.1 ,0.70 ,-3.40 
Globigerinoides sacculifer,29.8 ,0.77 ,-3.02 
Globigerinoides sacculifer,26.5 ,0.62 ,-2.60 
Globigerinoides sacculifer,28.0 ,0.62 ,-2.60 
Globigerinoides sacculifer,21.0 ,0.81 ,-1.20 
Globigerinoides sacculifer,16.2 ,0.83 ,-0.01 
Neogloboquadrina pachyderma (s.),11.8,0.13,0.09
Neogloboquadrina pachyderma (s.),1.2,-0.17,2.58
Neogloboquadrina pachyderma (s.),5.2,-0.29,1.1
Neogloboquadrina pachyderma (s.),13.1,0.13,0.3
Neogloboquadrina pachyderma (s.),8.7,0.13,0.9
Neogloboquadrina pachyderma (s.),6.9,-0.09,1.45
Neogloboquadrina pachyderma (s.),7.3,-0.17,1.46
Neogloboquadrina pachyderma (s.),5.4,-0.17,1.69
Neogloboquadrina pachyderma (s.),-1.625,0.22,3.59
Neogloboquadrina pachyderma (s.),-0.845,0.25,3.4
Neogloboquadrina pachyderma (s.),0.734,0.25,3.6
Neogloboquadrina pachyderma (s.),1.411,0.25,3.44
Neogloboquadrina pachyderma (s.),0.607,0.3,3.39
Neogloboquadrina pachyderma (s.),-1.542,0.23,3.87
Neogloboquadrina pachyderma (s.),0.175,0.23,3.76
Neogloboquadrina pachyderma (s.),1.339,0.25,3.53
Neogloboquadrina pachyderma (s.),-1.643,0.26,3.83
Neogloboquadrina pachyderma (s.),0.012,0.25,3.88
Neogloboquadrina pachyderma (s.),1.239,0.28,3.55
Neogloboquadrina pachyderma (s.),1.42,0.31,3.2
Neogloboquadrina pachyderma (s.),1.395,0.3,3
