Species,zmin,zmax,Ref
Beella digitata,20,250,Meilland et al. (2019)
Berggrenia pumilio,30,60,Meilland et al. (2019)
Candeina nitida,0,80,Meilland et al. (2019)
Dentigloborotalia anfracta,0,100,Meilland et al. (2019)
Globigerina bulloides,0,230,Meilland et al. (2019)
Globigerina calida,0,180,Meilland et al. (2019)
Globigerinoides conglobatus,0,50,Meilland et al. (2019)
Globigerina crassaformis,80,240,Meilland et al. (2019)
Globigerinoides elongatus,0,110,Meilland et al. (2019)
Globigerina falconensis,30,190,Meilland et al. (2019)
Globigerina glutinata,0,100,Meilland et al. (2019)
Globorotalia hirsuta,40,110,Meilland et al. (2019)
Globorotalia menardii,0,120,Meilland et al. (2019)
Globigerina radians,0,120,Meilland et al. (2019)
Globigerinoides ruber pink,0,100,Meilland et al. (2019)
Globigerinoides ruber white,0,90,Meilland et al. (2019)
Globigerina rubescens,0,100,Meilland et al. (2019)
Globorotalia scitula,10,230,Meilland et al. (2019)
Globigerina siphonifera,0,160,Meilland et al. (2019)
Globigerinoides tenellus,0,160,Meilland et al. (2019)
Globorotalia tumida,0,110,Meilland et al. (2019)
Globorotalia ungulata,30,70,Meilland et al. (2019)
Hastigerina pelagica,20,250,Meilland et al. (2019)
Neogloboquadrina dutertrei,0,130,Meilland et al. (2019)
Neogloboquadrina incompta,0,110,Meilland et al. (2019)
Orbulina universa,10,130,Meilland et al. (2019)
Pulleniatina obliquiloculata,0,100,Meilland et al. (2019)
Turborotalita clarkei,0,100,Meilland et al. (2019)
Tenuitellita fleisheri,0,230,Meilland et al. (2019)
Truncatulina humilis,0,110,Meilland et al. (2019)
Tenuitellita iota,0,40,Meilland et al. (2019)
Tenuitellita parkerae,0,90,Meilland et al. (2019)
Turborotalita quinqueloba,0,40,Meilland et al. (2019)
Trilobatus sacculifer,0,80,Meilland et al. (2019)
