Station,Depth bottom,Depth top,B. digitata,G. siphonifera,G. calida,G. radians,T. sacculifer,O. universa,O. universa juvenile,G. ruber white,G. ruber pink,G. conglobatus,G. elongatus,G. tenellus,G. rubescens,G. bulloides,T. quinqueloba,T. humilis,T. clarkei,G. menardii,G. tumida,G. ungulata,G. scitula,G. hirsuta,G. crassaformis,N. dutertrei,P. obliquiloculata,N. incompta,G. glutinata,C. nitida,T. parkerae,T. iota,T. fleisheri,H. pelagica,B. pumilio,D. anfracta,G. falconensis,benthic,undeterminate,Total shells
DVRS6536,31,0,0.0000,1.0000,3.1667,0.0000,0.1667,0.1667,3.6667,23.0000,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,16.3333,0.0000,0.0000,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,16.8333,75.5000
DVRS6536,60,31,0.0000,1.0000,1.1667,0.0000,0.0000,0.3333,1.1667,8.8333,4.3333,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,8.5000,0.0000,0.0000,0.0000,0.0000,0.5000,0.1667,1.0000,0.0000,0.0000,6.1667,35.5000
DVRS6536,75,60,0.0000,1.5000,1.5000,0.0000,0.0000,6.5000,0.0000,2.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.5000,0.0000,17.5000
DVRS6536,107,75,0.0000,0.1429,1.0000,0.0000,0.0000,2.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4286,0.0000,4.8571
DVRS6536,140,107,0.0000,0.1250,1.5000,0.0000,0.0000,0.2500,0.0000,0.6250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.3750,0.2500,0.0000,0.0000,0.0000,4.2500,0.0000,8.2500
UGPD5884,50,0,0.0000,0.8125,0.0000,0.0000,1.6875,0.3750,0.1250,11.1250,2.3125,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0625,0.0000,0.0000,0.4375,0.1250,0.0000,13.1250,0.0000,0.0000,0.0000,0.1875,0.3750,0.0000,0.5625,0.0000,0.1875,3.1250,35.7500
UGPD5884,106,50,0.0000,0.8750,1.3750,0.0000,0.0000,1.5000,0.0000,1.0000,0.6875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.1250,0.0000,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0000,1.8125,0.0000,0.0000,0.0000,0.0625,0.0625,0.0000,0.1875,0.0000,0.0000,0.0000,8.5000
UGPD5884,148,106,0.0000,0.2500,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,2.1667
UGPD5884,184,148,0.0000,0.0000,1.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000,0.8182,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,2.2727
UGPD5884,233,184,0.0000,0.0000,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0667,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7333
BXDV7815,31,0,0.0000,0.6250,0.5000,0.0000,4.2500,0.2500,0.0000,8.2500,1.8750,0.0000,0.0000,0.0000,2.2500,0.0000,0.1250,0.0000,0.7500,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500,0.2500,0.0000,29.6250,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,1.5000,0.0000,0.5000,8.7500,60.5000
BXDV7815,83,31,0.0000,0.5714,0.7857,0.0000,1.1429,1.0714,0.0000,4.3571,0.8571,0.0000,0.2143,0.0000,1.2857,0.0000,0.0000,0.0000,0.1429,0.2143,0.0000,0.0000,0.0000,0.0000,0.0000,0.5714,0.2857,0.0000,9.5714,0.2143,0.5714,0.0000,0.0000,0.0714,0.0000,0.3571,0.0714,0.0000,0.5000,22.8571
BXDV7815,125,83,0.0000,0.5000,0.8000,0.0000,0.0000,1.5000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.3000,0.0000,0.8000,0.0000,0.0000,0.0000,0.3000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9000
BXDV7815,193,125,0.0000,0.0000,0.5556,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.2222,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.4444,0.4444,0.0000,0.0000,0.5000,0.0000,0.0000,2.7222
BXDV7815,262,193,0.0556,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.0000,0.0000,0.0556,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2222,0.0000,0.0556,0.0000,0.2222,0.0000,0.0000,0.0000,0.2778,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,1.3333
KCSI8372,33,0,0.0000,0.3000,0.0000,0.5000,2.0000,0.4000,0.0000,12.9000,1.5000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.9000,3.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.0000,0.0000,20.4000,0.1000,0.3000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,0.3000,0.0000,44.2000
KCSI8372,61,33,0.0000,0.7143,0.0000,0.4286,0.2857,0.4286,0.0000,6.7143,1.1429,0.0000,0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.4286,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,0.0000,0.0000,8.1429,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.4286,0.0000,0.0000,0.0000,19.5714
KCSI8372,78,61,0.0000,0.3333,0.0000,0.0000,1.0000,0.3333,0.0000,2.0000,0.6667,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
KCSI8372,101,78,0.0000,0.2000,0.0000,0.2000,0.0000,2.4000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8000
KCSI8372,117,101,0.0000,0.4000,0.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
KFVP3225,29,0,0.0000,1.6667,0.0000,0.0000,1.6667,0.1111,0.0000,15.0000,2.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.4444,0.0000,26.3333,0.0000,0.0000,0.0000,0.5556,0.0000,0.0000,0.5556,0.0000,0.0000,0.6667,50.1111
KFVP3225,56,29,0.2857,1.1429,0.0000,0.2857,2.7143,0.1429,0.0000,8.7143,2.0000,0.0000,0.0000,0.0000,0.2857,0.0000,0.0000,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.7143,0.0000,6.5714,0.1429,0.0000,0.0000,0.4286,0.0000,0.0000,0.5714,0.1429,0.0000,1.8571,26.4286
KFVP3225,78,56,0.0000,0.3333,0.1667,0.0000,0.1667,0.6667,0.0000,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.3333,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,4.1667
KFVP3225,112,78,0.0000,0.3333,0.1111,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3333
KFVP3225,129,112,0.0000,1.7500,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,2.5000
PESN2878,60,0,0.2222,1.0000,0.1111,0.5556,1.1667,0.5000,0.1667,5.7222,1.1111,0.0000,0.0000,0.2222,0.4444,0.0000,0.0000,0.0000,0.0000,0.3889,0.0000,0.0000,0.0556,0.0000,0.0000,0.1111,0.0000,0.6667,11.7778,0.1111,0.0000,0.0000,0.4444,0.0556,0.0000,0.1111,0.1111,0.0556,0.0000,25.1111
PESN2878,107,60,0.0000,0.8333,0.0000,0.0000,0.2500,1.3333,0.0000,1.2500,0.1667,0.0000,0.5000,0.0833,0.3333,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,0.0000,0.0833,0.0000,0.6667,3.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.1667,9.5000
PESN2878,176,107,0.0000,0.7895,0.1579,0.0000,0.0000,0.0526,0.0000,0.0526,0.0000,0.0000,0.0000,0.0000,0.0526,0.6316,0.0000,0.0000,0.0000,0.0526,0.0000,0.0000,0.2105,0.0000,0.3684,0.1053,0.0000,0.0000,0.2632,0.0000,0.0000,0.0000,0.5789,0.2105,0.0000,0.0000,0.0000,0.0000,0.0000,3.5263
PESN2878,246,176,0.3889,0.2778,0.0556,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6111,0.1667,0.0000,0.0000,0.0000,0.0000,0.5556,2.5556
PESN2878,311,246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556
VWXU0012,22,0,0.0000,0.1476,0.0000,0.0000,1.1808,0.0000,0.0000,1.7712,0.1476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2952,0.0000,0.0000,9.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5461
VWXU0012,49,22,0.0000,0.3883,0.0000,0.2589,1.0356,0.0000,0.0000,4.1424,0.7767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5178,0.0000,0.0000,0.0000,0.0000,0.0000,0.2589,0.0000,0.0000,6.7314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1294,0.0000,0.0000,0.0000,14.2395
VWXU0012,71,49,0.0000,0.5263,0.1754,0.0000,0.0000,0.0000,0.0000,1.0526,1.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1754,0.5263,0.0000,0.0000,0.0000,0.0000,0.0000,0.1754,0.0000,0.0000,2.8070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4912
VWXU0012,101,71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2524
VWXU0012,124,101,0.0000,0.4858,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,1.1336
LTMW4442,30,0,0.0000,1.4444,0.2222,0.0000,2.4444,0.5556,1.6667,14.3333,6.0000,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.2222,0.0000,2.6667,0.1111,0.0000,0.0000,0.3333,0.0000,0.0000,0.8889,0.0000,0.5556,15.1111,47.1111
LTMW4442,64,30,0.0000,0.5556,0.0000,0.0000,1.2222,0.3333,0.0000,2.5556,0.5556,0.0000,0.3333,0.0000,0.4444,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,1.8889,0.0000,7.1111,0.0000,0.3333,0.0000,0.0000,0.1111,0.0000,0.4444,0.0000,0.0000,2.7778,18.8889
