Species,zmin,zmax,Ref
Berggrenia pumillio,30,200,Rebotim et al. (2017) fig. 7
Globigerina bulloides,30,300,Rebotim et al. (2017) fig. 7
Globigerina falconensis,30,200,Rebotim et al. (2017) fig. 7
Globigerinella calida,30,120,Rebotim et al. (2017) fig. 7
Globigerinella siphonifera,50,200,Rebotim et al. (2017) fig. 7
Globigerinita glutinata,25,200,Rebotim et al. (2017) fig. 7
Globigerinoides ruber pink,20,60,Rebotim et al. (2017) fig. 7
Globigerinoides ruber white,30,120,Rebotim et al. (2017) fig. 7
Globigerinoides tenellus,25,100,Rebotim et al. (2017) fig. 7
Globorotalia crassaformis,30,60,Rebotim et al. (2017) fig. 7
Globorotalia hirsuta,20,400,Rebotim et al. (2017) fig. 7
Globorotalia inflata,30,200,Rebotim et al. (2017) fig. 7
Globorotalia scitula,40,400,Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides,40,250,Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides (s.),40,250,Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides (d.),40,250,Rebotim et al. (2017) fig. 7
Globoturborotalita rubescens,30,350,Rebotim et al. (2017) fig. 7
Hastigerina pelagica,90,300,Rebotim et al. (2017) fig. 7
Neogloboquadrina dutertrei,30,100,Rebotim et al. (2017) fig. 7
Neogloboquadrina incompta,30,200,Rebotim et al. (2017) fig. 7
Pulleniatina obliquiloculata,30,60,Rebotim et al. (2017) fig. 7
Tenuitella fleisheri,35,150,Rebotim et al. (2017) fig. 7
Tenuitella iota,40,400,Rebotim et al. (2017) fig. 7
Tenuitella parkerae,50,300,Rebotim et al. (2017) fig. 7
Trilobatus sacculifer,15,200,Rebotim et al. (2017) fig. 7
Trilobatus trilobus,15,200,Rebotim et al. (2017) fig. 7
Turborotalita clarkei,100,300,Rebotim et al. (2017) fig. 7
Turborotalita humilis,30,200,Rebotim et al. (2017) fig. 7
Turborotalita quinqueloba,40,400,Rebotim et al. (2017) fig. 7
