Species,zmin,zmax,Ref
Beella digitata,20,250,Meilland et al. (2019)
Berggrenia pumilio,30,60,Meilland et al. (2019)
Berggrenia pumillio,30,200,Rebotim et al. (2017) fig. 7
Candeina nitida,0,80,Meilland et al. (2019)
Dentigloborotalia anfracta,0,100,Meilland et al. (2019)
Globigerina bulloides,0,300,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globigerina calida,0,180,Meilland et al. (2019)
Globigerina crassaformis,80,240,Meilland et al. (2019)
Globigerina falconensis,30,200,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globigerina glutinata,0,100,Meilland et al. (2019)
Globigerina radians,0,120,Meilland et al. (2019)
Globigerina rubescens,0,100,Meilland et al. (2019)
Globigerina siphonifera,0,160,Meilland et al. (2019)
Globigerinella calida,30,120,Rebotim et al. (2017) fig. 7
Globigerinella siphonifera,50,200,Rebotim et al. (2017) fig. 7
Globigerinita glutinata,25,200,Rebotim et al. (2017) fig. 7
Globigerinoides conglobatus,0,50,Meilland et al. (2019)
Globigerinoides elongatus,0,110,Meilland et al. (2019)
Globigerinoides ruber pink,0,100,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globigerinoides ruber white,0,120,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globigerinoides tenellus,0,160,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globorotalia crassaformis,30,60,Rebotim et al. (2017) fig. 7
Globorotalia hirsuta,20,400,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globorotalia inflata,30,200,Rebotim et al. (2017) fig. 7
Globorotalia menardii,0,120,Meilland et al. (2019)
Globorotalia scitula,10,400,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides,40,250,Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides (d.),40,250,Rebotim et al. (2017) fig. 7
Globorotalia truncatulinoides (s.),40,250,Rebotim et al. (2017) fig. 7
Globorotalia tumida,0,110,Meilland et al. (2019)
Globorotalia ungulata,30,70,Meilland et al. (2019)
Globoturborotalita rubescens,30,350,Rebotim et al. (2017) fig. 7
Hastigerina pelagica,20,300,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Neogloboquadrina dutertrei,0,130,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Neogloboquadrina incompta,0,200,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Neogloboquadrina pachyderma,25,280,Greco et al. (2019)
Orbulina universa,10,130,Meilland et al. (2019)
Pulleniatina obliquiloculata,0,100,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Tenuitella fleisheri,35,150,Rebotim et al. (2017) fig. 7
Tenuitella iota,40,400,Rebotim et al. (2017) fig. 7
Tenuitella parkerae,50,300,Rebotim et al. (2017) fig. 7
Tenuitellita fleisheri,0,230,Meilland et al. (2019)
Tenuitellita iota,0,40,Meilland et al. (2019)
Tenuitellita parkerae,0,90,Meilland et al. (2019)
Trilobatus sacculifer,0,200,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Trilobatus trilobus,15,200,Rebotim et al. (2017) fig. 7
Truncatulina humilis,0,110,Meilland et al. (2019)
Turborotalita clarkei,0,300,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
Turborotalita humilis,30,200,Rebotim et al. (2017) fig. 7
Turborotalita quinqueloba,0,400,Meilland et al. (2019); Rebotim et al. (2017) fig. 7
