Site,T,SE_T,d18Osw,SE_d18Osw
MOCOSED,-1.51,1.00,0.29,0.10
MD04-2720,2.51,1.00,-0.15,0.10
MD12-3401,-0.14,1.00,-0.11,0.10
MD95-2014,3.49,1.00,0.18,0.10
MD08-3182,4.01,1.00,0.21,0.10
MD03-2680,3.94,1.00,0.22,0.10
2FPA1,11.23,1.00,0.74,0.10
SU90-03,3.29,1.00,0.18,0.10
MD08-3179,3.55,1.00,0.20,0.10
MD12-3426,1.69,1.00,-0.13,0.10
MD00-2360,4.61,1.00,-0.05,0.10
MD02-2577,0.68,1.00,0.11,0.10
13MC-G,12.09,1.00,0.54,0.10
19MC-G,19.12,1.02,0.93,0.10
50MC-G,17.96,1.02,0.86,0.10
53MC-G,13.35,1.01,0.61,0.10
89MC-G,12.15,1.01,0.54,0.10
94MC-G,15.42,1.01,0.71,0.10
GS06-144-19,2.33,1.00,0.29,0.10
GS07-150-17-2,4.81,1.00,0.13,0.10
GS07-150-22-1,6.23,1.00,0.05,0.10
MP43-BC,15.25,1.00,1.57,0.10
MP46-MC,15.14,1.00,1.61,0.10
SO213-54-4,-0.05,1.00,-0.15,0.10
SO213-71-2,7.62,1.00,0.03,0.10
GS15-198-63MC,-1.29,1.00,0.49,0.10
GS15-198-38MC,-1.38,1.00,0.27,0.10
GS15-198-62MC,-0.84,1.00,0.26,0.10
GS06-144-19MC,1.35,1.00,0.28,0.10
CD107 A ML 5A,1.03,1.00,0.15,0.10
CD94 17B,6.32,1.01,0.36,0.10
KL88,3.43,1.00,0.20,0.10
CD145 A150,21.41,1.06,0.74,0.10
SO164-25-3,2.75,1.00,0.18,0.10
OJP2016 MW0691 1.5BC11,1.64,1.00,-0.09,0.10
WIND 33B,0.95,1.00,-0.05,0.10
SO225-53-1,0.42,1.00,-0.13,0.10
SO213-84-2,4.74,1.00,-0.11,0.10
