Sample,Ref,d18Osw,sd18Osw,T,sT
MD04-2720_pachyD,Peral et al. (2018),-0.35,0.11,3.19,1.16
MOCOSED_pachyS,Peral et al. (2018),0.11,0.11,0.04,1.23
MD12-3401_bullo,Peral et al. (2018),0.16,0.10,11.03,1.11
MD95-2014_bullo,Peral et al. (2018),0.25,0.13,8.72,1.18
MD08-3182_bullo,Peral et al. (2018),0.17,0.14,7.31,1.76
MD08-3182_pachyS,Peral et al. (2018),0.18,0.13,7.22,1.58
MD03-2680_pachyD,Peral et al. (2018),0.21,0.14,8.64,1.24
SU90-03_bullo,Peral et al. (2018),0.74,0.10,14.49,1.84
MD08-3179_inflata200,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_inflata250,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_inflata315,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_inflata355,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_inflata400,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_inflata450,Peral et al. (2018),0.79,0.10,15.89,1.79
MD08-3179_ruber,Peral et al. (2018),0.80,0.10,17.36,2.27
MD08-3179_truncaD,Peral et al. (2018),0.79,0.10,15.37,1.62
MD08-3179_truncaS,Peral et al. (2018),0.79,0.10,15.37,1.62
MD12-3426_menardi,Peral et al. (2018),-0.14,0.17,23.32,2.63
MD12-3426_orbulina,Peral et al. (2018),-0.11,0.17,22.85,2.59
MD02-2577_menardi,Peral et al. (2018),0.96,0.10,20.93,2.84
MD02-2577_orbulina,Peral et al. (2018),0.96,0.10,20.63,2.64
MD02-2577_ruber,Peral et al. (2018),0.96,0.10,20.93,2.84
MD00-2360_menardi,Peral et al. (2018),0.36,0.10,24.47,1.87
MD00-2360_orbulina,Peral et al. (2018),0.37,0.11,24.17,1.84
MD00-2360_ruber,Peral et al. (2018),0.36,0.10,24.47,1.87
A1,Meinicke et al. (2020),0.63,0.12,27.40,1.41
A2,Meinicke et al. (2020),0.66,0.12,25.89,2.37
A3,Meinicke et al. (2020),0.66,0.12,25.89,2.37
A4,Meinicke et al. (2020),0.61,0.11,27.70,1.28
A5,Meinicke et al. (2020),0.64,0.12,27.14,1.48
A6,Meinicke et al. (2020),0.57,0.10,28.24,1.22
A7,Meinicke et al. (2020),0.62,0.11,27.56,1.34
B1a,Meinicke et al. (2020),1.00,0.13,26.01,1.62
B1c,Meinicke et al. (2020),1.00,0.13,26.01,1.62
B1d,Meinicke et al. (2020),0.99,0.13,26.41,1.40
B2,Meinicke et al. (2020),1.00,0.12,23.93,3.05
B5,Meinicke et al. (2020),0.99,0.13,26.41,1.40
B6,Meinicke et al. (2020),0.92,0.11,26.99,1.37
D1,Meinicke et al. (2020),-0.11,0.10,9.63,1.37
D2,Meinicke et al. (2020),-0.12,0.10,9.58,1.20
D3,Meinicke et al. (2020),-0.13,0.10,9.79,1.27
E1,Meinicke et al. (2020),0.36,0.11,23.51,2.90
E2,Meinicke et al. (2020),0.34,0.11,20.92,4.03
E3,Meinicke et al. (2020),0.34,0.11,20.92,4.03
E4,Meinicke et al. (2020),0.36,0.11,23.16,3.06
E5,Meinicke et al. (2020),0.37,0.11,24.25,2.56
E7,Meinicke et al. (2020),0.35,0.11,22.87,2.96
E8,Meinicke et al. (2020),0.36,0.11,23.51,2.90
E9,Meinicke et al. (2020),0.36,0.11,23.87,2.74
F1,Meinicke et al. (2020),0.69,0.11,24.26,2.34
G1,Meinicke et al. (2020),0.53,0.11,10.32,1.81
G2,Meinicke et al. (2020),0.54,0.10,10.09,1.39
G3,Meinicke et al. (2020),0.53,0.11,10.33,1.62
G4,Meinicke et al. (2020),0.51,0.11,11.02,2.14
I1,Meinicke et al. (2020),0.38,0.12,10.30,1.39
I2,Meinicke et al. (2020),0.38,0.12,10.15,1.16
I4,Meinicke et al. (2020),0.31,0.11,10.63,1.62
I5,Meinicke et al. (2020),0.41,0.12,10.13,1.21
J1,Meinicke et al. (2020),0.48,0.11,25.29,3.47
K1,Meinicke et al. (2020),0.17,0.11,0.71,1.27
L1,Meinicke et al. (2020),0.78,0.10,18.65,2.29
L2,Meinicke et al. (2020),0.76,0.10,16.11,2.74
L4,Meinicke et al. (2020),0.77,0.10,15.94,2.04
L5,Meinicke et al. (2020),0.78,0.10,16.72,2.11
M1,Meinicke et al. (2020),0.45,0.14,7.44,1.51
M2,Meinicke et al. (2020),0.47,0.13,7.40,1.49
N1,Meinicke et al. (2020),0.14,0.11,0.69,1.30
O1,Meinicke et al. (2020),0.28,0.10,2.39,1.15
