Sample,Ref,d18Osw,sd18Osw,T,sT
MD04-2720_pachyD,Peral et al. (2018),-0.27,0.13,3.00,1.09
MOCOSED_pachyS,Peral et al. (2018),0.16,0.13,0.66,1.42
MD12-3401_bullo,Peral et al. (2018),0.14,0.10,10.63,1.20
MD95-2014_bullo,Peral et al. (2018),0.29,0.13,8.57,1.13
MD08-3182_bullo,Peral et al. (2018),0.19,0.13,6.55,1.78
MD08-3182_pachyS,Peral et al. (2018),0.19,0.13,6.55,1.78
MD03-2680_pachyD,Peral et al. (2018),0.27,0.13,8.26,1.16
SU90-03_bullo,Peral et al. (2018),0.71,0.11,13.67,1.87
MD08-3179_inflata200,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_inflata250,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_inflata315,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_inflata355,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_inflata400,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_inflata450,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_ruber,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_truncaD,Peral et al. (2018),0.74,0.12,14.44,2.34
MD08-3179_truncaS,Peral et al. (2018),0.74,0.12,14.44,2.34
MD12-3426_menardi,Peral et al. (2018),-0.07,0.19,22.20,2.91
MD12-3426_orbulina,Peral et al. (2018),-0.07,0.19,22.20,2.91
MD02-2577_menardi,Peral et al. (2018),0.71,0.27,14.92,5.08
MD02-2577_orbulina,Peral et al. (2018),0.71,0.27,14.92,5.08
MD02-2577_ruber,Peral et al. (2018),0.71,0.27,14.92,5.08
MD00-2360_menardi,Peral et al. (2018),0.38,0.17,17.70,5.36
MD00-2360_orbulina,Peral et al. (2018),0.38,0.17,17.70,5.36
MD00-2360_ruber,Peral et al. (2018),0.38,0.17,17.70,5.36
A1,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A2,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A3,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A4,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A5,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A6,Meinicke et al. (2020),0.44,0.25,18.35,7.05
A7,Meinicke et al. (2020),0.44,0.25,18.35,7.05
B1a,Meinicke et al. (2020),0.72,0.29,17.25,6.21
B1c,Meinicke et al. (2020),0.72,0.29,17.25,6.21
B1d,Meinicke et al. (2020),0.72,0.29,17.25,6.21
B2,Meinicke et al. (2020),0.72,0.29,17.25,6.21
B5,Meinicke et al. (2020),0.72,0.29,17.25,6.21
B6,Meinicke et al. (2020),0.72,0.29,17.25,6.21
D1,Meinicke et al. (2020),-0.09,0.11,9.01,1.47
D2,Meinicke et al. (2020),-0.09,0.11,9.01,1.47
D3,Meinicke et al. (2020),-0.09,0.11,9.01,1.47
E1,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E2,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E3,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E4,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E5,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E7,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E8,Meinicke et al. (2020),0.27,0.12,15.72,5.17
E9,Meinicke et al. (2020),0.27,0.12,15.72,5.17
F1,Meinicke et al. (2020),0.64,0.14,18.83,4.27
G1,Meinicke et al. (2020),0.55,0.11,10.04,1.58
G2,Meinicke et al. (2020),0.55,0.11,10.04,1.58
G3,Meinicke et al. (2020),0.55,0.11,10.04,1.58
G4,Meinicke et al. (2020),0.55,0.11,10.04,1.58
I1,Meinicke et al. (2020),0.42,0.12,10.11,1.27
I2,Meinicke et al. (2020),0.42,0.12,10.11,1.27
I4,Meinicke et al. (2020),0.42,0.12,10.11,1.27
I5,Meinicke et al. (2020),0.42,0.12,10.11,1.27
J1,Meinicke et al. (2020),0.35,0.17,17.61,7.08
K1,Meinicke et al. (2020),0.21,0.11,1.15,1.36
L1,Meinicke et al. (2020),0.72,0.12,14.57,2.93
L2,Meinicke et al. (2020),0.72,0.12,14.57,2.93
L4,Meinicke et al. (2020),0.72,0.12,14.57,2.93
L5,Meinicke et al. (2020),0.72,0.12,14.57,2.93
M1,Meinicke et al. (2020),0.41,0.14,7.34,1.37
M2,Meinicke et al. (2020),0.41,0.14,7.34,1.37
N1,Meinicke et al. (2020),0.18,0.12,1.25,1.41
O1,Meinicke et al. (2020),0.29,0.10,2.26,1.16
