Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
MD04-2720_pachyD,Neogloboquadrina incompta,MD04-2720,-49.13,71.36,(0-200),2.84,0.82,discordant
MOCOSED_pachyS,Neogloboquadrina pachyderma,MOCOSED,73.04,-11.93,(25-280),1.12,0.75,
MD12-3401_bullo,Globigerina bulloides,MD12-3401,-44.69,80.40,(0-300),9.55,0.99,discordant
MD95-2014_bullo,Globigerina bulloides,MD95-2014,60.59,-22.08,(0-300),8.59,0.61,discordant
MD08-3182_bullo,Globigerina bulloides,MD08-3182,52.71,-35.94,(0-300),6.12,1.00,
MD08-3182_pachyS,Neogloboquadrina pachyderma,MD08-3182,52.71,-35.94,(25-280),6.32,1.17,
MD03-2680_pachyD,Neogloboquadrina incompta,MD03-2680,61.06,-24.55,(0-200),8.54,0.70,
SU90-03_bullo,Globigerina bulloides,SU90-03,40.05,-30.00,(0-300),15.09,1.29,discordant
MD08-3179_inflata200,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,
MD08-3179_inflata250,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,
MD08-3179_inflata315,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,discordant
MD08-3179_inflata355,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,
MD08-3179_inflata400,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,
MD08-3179_inflata450,Globorotalia inflata,MD08-3179,37.86,-30.30,(30-200),16.57,1.36,
MD08-3179_ruber,Globigerinoides ruber white,MD08-3179,37.86,-30.30,(0-120),17.24,1.30,
MD08-3179_truncaD,Globorotalia truncatulinoides (d.),MD08-3179,37.86,-30.30,(40-250),16.04,1.26,
MD08-3179_truncaS,Globorotalia truncatulinoides (s.),MD08-3179,37.86,-30.30,(40-250),16.04,1.26,
MD12-3426_menardi,Globorotalia menardii,MD12-3426,19.73,114.61,(0-120),20.55,3.68,
