Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
MD04-2720_pachyD,Neogloboquadrina incompta,MD04-2720,-49.13,71.36,(0-1500),2.70,0.77,discordant
MOCOSED_pachyS,Neogloboquadrina pachyderma,MOCOSED,73.04,-11.93,(0-1500),0.15,0.65,
MD12-3401_bullo,Globigerina bulloides,MD12-3401,-44.69,80.40,(0-1500),6.36,2.81,
MD95-2014_bullo,Globigerina bulloides,MD95-2014,60.59,-22.08,(0-1500),6.66,1.80,
MD08-3182_bullo,Globigerina bulloides,MD08-3182,52.71,-35.94,(0-1500),4.76,1.32,
MD08-3182_pachyS,Neogloboquadrina pachyderma,MD08-3182,52.71,-35.94,(0-1500),4.76,1.32,
MD03-2680_pachyD,Neogloboquadrina incompta,MD03-2680,61.06,-24.55,(0-1500),6.43,1.75,
SU90-03_bullo,Globigerina bulloides,SU90-03,40.05,-30.00,(0-1500),10.26,3.64,
MD08-3179_inflata200,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_inflata250,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_inflata315,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_inflata355,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_inflata400,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_inflata450,Globorotalia inflata,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_ruber,Globigerinoides ruber white,MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_truncaD,Globorotalia truncatulinoides (d.),MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD08-3179_truncaS,Globorotalia truncatulinoides (s.),MD08-3179,37.86,-30.30,(0-1500),11.72,3.21,
MD12-3426_menardi,Globorotalia menardii,MD12-3426,19.73,114.61,(0-1500),16.47,5.61,
MD12-3426_orbulina,Orbulina universa,MD12-3426,19.73,114.61,(0-1500),16.47,5.61,
MD02-2577_menardi,Globorotalia menardii,MD02-2577,28.84,-86.67,(0-1500),14.90,5.22,
MD02-2577_orbulina,Orbulina universa,MD02-2577,28.84,-86.67,(0-1500),14.90,5.22,
MD02-2577_ruber,Globigerinoides ruber white,MD02-2577,28.84,-86.67,(0-1500),14.90,5.22,
MD00-2360_menardi,Globorotalia menardii,MD00-2360,-20.08,112.67,(0-1500),12.87,6.69,
MD00-2360_orbulina,Orbulina universa,MD00-2360,-20.08,112.67,(0-1500),12.87,6.69,
MD00-2360_ruber,Globigerinoides ruber white,MD00-2360,-20.08,112.67,(0-1500),12.87,6.69,
A1,Globigerinoides ruber white,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A2,Trilobatus trilobus,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A3,Trilobatus sacculifer,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A4,Pulleniatina obliquiloculata,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A5,Orbulina universa,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A6,Globigerinoides conglobatus,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
A7,Globorotalia tumida,SO225-53-1,-13.52,-162.14,(0-1500),11.33,8.66,
B1a,Globigerinoides ruber white,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
B1c,Globigerinoides ruber white,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
B1d,Globigerinoides ruber pink,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
B2,Trilobatus trilobus,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
B5,Pulleniatina obliquiloculata,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
B6,Globigerinoides conglobatus,SO164-25-3,14.69,-59.74,(0-1500),10.54,7.10,
D1,Globigerina bulloides,SO213-84-2,-45.12,174.58,(0-1500),7.24,1.63,
D2,Globorotalia truncatulinoides,SO213-84-2,-45.12,174.58,(0-1500),7.24,1.63,
D3,Globorotalia inflata,SO213-84-2,-45.12,174.58,(0-1500),7.24,1.63,
E1,Globigerinoides ruber white,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E2,Trilobatus trilobus,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E3,Trilobatus sacculifer,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E4,Neogloboquadrina dutertrei,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E5,Pulleniatina obliquiloculata,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E7,Orbulina universa,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E8,Globorotalia menardii,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
E9,Globorotalia tumida,WIND 33B,-11.21,58.77,(0-1500),9.79,6.02,
F1,Neogloboquadrina dutertrei,CD145 A150,23.30,66.70,(0-1500),24.72,2.00,
G1,Globigerina bulloides,CD94 17B,48.92,-11.83,(0-1500),11.04,1.10,
G2,Globorotalia truncatulinoides,CD94 17B,48.92,-11.83,(0-1500),11.04,1.10,
