Site,Lat,Lon,Depth,Omega_cc,SE_Omega_cc,Salinity,SE_Salinity
MOCOSED,73.04,-11.93,1839,1.615,0.007,34.909,0.005
MD04-2720,-49.13,71.36,750,1.473,0.118,34.622,0.079
MD12-3401,-44.69,80.40,3445,0.973,0.023,34.738,0.034
MD95-2014,60.59,-22.08,2397,1.534,0.012,34.971,0.003
MD08-3182,52.71,-35.94,1355,1.909,0.008,34.897,0.003
MD03-2680,61.06,-24.55,1812,1.748,0.007,34.960,0.003
2FPA1,43.67,-2.00,664,2.803,0.136,35.609,0.005
SU90-03,40.05,-30.00,2475,1.524,0.046,34.931,0.018
MD08-3179,37.86,-30.30,2036,1.682,0.010,34.986,0.006
MD12-3426,19.73,114.61,3630,0.832,0.040,34.681,0.017
MD00-2360,-20.08,112.67,980,1.405,0.018,34.629,0.020
MD02-2577,28.84,-86.67,4076,1.076,0.011,34.893,0.010
13MC-G,24.37,-83.24,348,3.432,0.332,35.691,0.231
19MC-G,24.42,-83.21,173,4.794,0.391,36.465,0.268
50MC-G,24.41,-83.22,198,4.475,0.364,36.446,0.252
53MC-G,24.38,-83.23,302,3.887,0.321,36.000,0.220
89MC-G,24.56,-79.24,353,3.713,0.227,35.964,0.146
94MC-G,24.57,-79.23,259,4.108,0.228,36.374,0.148
GS06-144-19,63.83,5.27,830,1.981,0.012,34.901,0.005
GS07-150-17-2,-4.47,-37.21,1000,1.514,0.027,34.568,0.006
GS07-150-22-1,-4.33,-37.16,598,1.755,0.037,34.474,0.007
MP43-BC,39.72,16.97,246,4.465,0.274,38.983,0.019
MP46-MC,39.54,17.25,582,4.482,0.164,38.807,0.019
SO213-54-4,-43.72,-120.67,3840,0.865,0.061,34.706,0.074
SO213-71-2,-45.58,-157.90,689,2.072,0.133,34.374,0.063
GS15-198-63MC,70.50,-2.80,2995,1.254,0.006,34.910,0.004
GS15-198-38MC,70.10,-17.70,1610,1.637,0.010,34.908,0.006
GS15-198-62MC,70.00,-13.60,1423,1.680,0.010,34.908,0.009
GS06-144-19MC,63.80,5.20,922,1.940,0.017,34.903,0.006
CD107 A ML 5A,52.90,-16.90,3569,1.223,0.009,34.916,0.002
CD94 17B,48.90,-11.80,1484,1.878,0.024,35.102,0.004
KL88,34.80,-27.70,2060,1.685,0.015,35.002,0.006
CD145 A150,23.30,66.70,151,2.170,0.201,36.346,0.137
SO164-25-3,14.70,-59.70,2720,1.434,0.018,34.942,0.016
OJP2016 MW0691 1.5BC11,-1.00,157.80,2016,1.100,0.015,34.640,0.008
WIND 33B,-11.20,58.80,2871,1.093,0.012,34.734,0.015
SO225-53-1,-13.50,-162.10,3154,1.004,0.015,34.678,0.017
SO213-84-2,-45.10,174.60,992,1.959,0.217,34.423,0.193
