Sample,N,d13C_VPDB,d18O_CO2_VSMOW,d18O_mineral_VPDB,D47 I-CDES90,SE,95% CL (unknown and anchor),95% CL (unknown),SD,p_Levene,Author,Mineralogy,Temperature,Temperature error,Method,Degassing,Carbonic Anhydrase,Fluid d18O_VSMOW,pH,Aragonite (%),Goethite (%),Precipitation Rate
IPGP_100-A3,9,-46.3,22.84,-17.42,0.4272,0.0149,0.0292,0.011901653,0.0212,0.191,Bonifacie,Dolomite,102.3,2,Laboratory,,,,,0,0,
IPGP_250-A5,9,-52.84,11.89,-28.04,0.2747,0.025,0.0491,0.011901653,0.0193,0.228,Bonifacie,Dolomite,252.1,2,Laboratory,,,,,0,0,
IPGP_350-A9,10,-55.56,7.78,-32.03,0.2319,0.0178,0.035,0.0112909,0.0139,0.037,Bonifacie,Dolomite,351.4,2,Laboratory,,,,,0,0,
IPGP_80-1,10,-6.89,24.08,-16.22,0.495,0.0121,0.0238,0.0112909,0.0142,0.074,Bonifacie,Protodolomite,80.2,1,Laboratory,,,,,0,0,
ETH-1-1100-SAM,10,1.95,37.49,-2.04,0.1778,0.0182, ,0.0112909,0.0295,0.743,This study,Calcite,1100,10,Laboratory,,,,,0,0,
ETH-2-1100-SAM,10,-10.14,20.58,-18.44,0.1915,0.017,0.0335,0.0112909,0.021,0.088,This study,Calcite,1100,10,Laboratory,,,,,0,0,
HT_25C,9,2.13,33.16,-6.24,0.6097,0.0131,0.0258,0.011901653,0.0095,0.012,Kluge,Calcite,25,2,Laboratory,,,,,0,0,
HT_80C,9,1.09,24.11,-15.38,0.4872,0.0127,0.025,0.011901653,0.0199,0.285,Kluge,Calcite,80,2,Laboratory,,,,,79,0,
AQUA_BORRA,11,1.69,30.91,-8.42,0.5766,0.0119,0.0233,0.01076545,0.0549,0.013,Kele,Calcite,36.1,0.1,Natural,,,-5.2,6.58,0,15,Moderate
BUK_4,9,2.18,24.1,-15.03,0.5405,0.0128,0.0251,0.011901653,0.0138,0.056,Kele,Calcite,54.9,0.1,Natural,,,-9.9,6.88,1,0,Intensive
CANARIAN,8,0.13,29.1,-10.18,0.5835,0.0135,0.0266,0.01262361,0.0169,0.182,Kele,Calcite,33.8,0.1,Natural,,,-8.1,7.7,0,0,Moderate
CANNATOPPA,8,-4.12,34.05,-5.38,0.6278,0.0139,0.0272,0.01262361,0.0187,0.159,Kele,Calcite,11,0.1,Natural,,,-6.5,8.94,0,0,Moderate
IGAL,10,0.63,25.72,-13.46,0.4746,0.0121,0.0238,0.0112909,0.0169,0.124,Kele,Calcite,75,0.1,Natural,,,-4,6.89,0,0,Intensive
LAPIGNA,9,-11.35,33.96,-5.46,0.6212,0.013,0.0256,0.011901653,0.0198,0.308,Kele,Calcite,12.5,0.1,Natural,,,-6.8,8.61,0,0,Moderate
