Sample,Species,T18,SE_T18,Twoa,SE_Twoa,D47_ICDES,SE_D47_ICDES,Ref
MD04-2720_pachyD,Neogloboquadrina incompta,-1.08,0.52,2.84,0.82,0.6760,0.0075,Peral et al. (2018)
K1,Neogloboquadrina pachyderma,-1.01,0.53,0.57,0.93,0.6760,0.0062,Meinicke et al. (2020)
N1,Neogloboquadrina pachyderma,-0.93,0.55,0.55,0.56,0.6710,0.0069,Meinicke et al. (2020)
MOCOSED_pachyS,Neogloboquadrina pachyderma,2.31,0.52,1.12,0.75,0.6666,0.0055,Peral et al. (2018)
O1,Neogloboquadrina pachyderma,3.10,0.55,4.79,1.09,0.6690,0.0072,Meinicke et al. (2020)
D1,Globigerina bulloides,4.02,0.78,8.30,0.97,0.6500,0.0060,Meinicke et al. (2020)
D2,Globorotalia truncatulinoides,4.89,0.72,8.33,0.81,0.6550,0.0080,Meinicke et al. (2020)
MD12-3401_bullo,Globigerina bulloides,5.63,0.47,9.55,0.99,0.6599,0.0054,Peral et al. (2018)
MD95-2014_bullo,Globigerina bulloides,6.24,0.59,8.59,0.61,0.6480,0.0055,Peral et al. (2018)
D3,Globorotalia inflata,6.31,0.67,8.66,1.04,0.6520,0.0076,Meinicke et al. (2020)
MD08-3182_bullo,Globigerina bulloides,6.34,0.63,6.12,1.00,0.6524,0.0042,Peral et al. (2018)
MD08-3182_pachyS,Neogloboquadrina pachyderma,7.31,0.63,6.32,1.17,0.6504,0.0074,Peral et al. (2018)
I5,Globorotalia hirsuta,7.57,0.68,11.02,0.74,0.6430,0.0076,Meinicke et al. (2020)
MD03-2680_pachyD,Neogloboquadrina incompta,7.60,0.67,8.54,0.70,0.6470,0.0074,Peral et al. (2018)
M1,Globigerina bulloides,8.21,0.77,8.29,0.64,0.6370,0.0078,Meinicke et al. (2020)
M2,Globorotalia inflata,8.66,0.67,8.45,0.62,0.6420,0.0078,Meinicke et al. (2020)
I1,Globigerina bulloides,8.87,1.04,11.17,0.72,0.6350,0.0060,Meinicke et al. (2020)
I2,Globorotalia truncatulinoides,9.64,0.64,11.28,0.66,0.6350,0.0082,Meinicke et al. (2020)
SU90-03_bullo,Globigerina bulloides,9.73,0.49,15.09,1.29,0.6429,0.0063,Peral et al. (2018)
L2,Globigerina bulloides,10.42,0.78,16.73,1.78,0.6280,0.0080,Meinicke et al. (2020)
G2,Globorotalia truncatulinoides,10.80,0.72,12.00,0.67,0.6340,0.0082,Meinicke et al. (2020)
L5,Globorotalia inflata,10.93,0.85,17.49,1.55,0.6450,0.0080,Meinicke et al. (2020)
L4,Globorotalia truncatulinoides,11.11,0.86,16.96,1.49,0.6470,0.0080,Meinicke et al. (2020)
G3,Globorotalia inflata,11.60,0.75,12.25,0.85,0.6310,0.0082,Meinicke et al. (2020)
I4,Orbulina universa,12.39,0.70,11.52,0.86,0.6260,0.0082,Meinicke et al. (2020)
MD08-3179_inflata315,Globorotalia inflata,12.48,0.57,16.57,1.36,0.6376,0.0074,Peral et al. (2018)
G1,Globigerina bulloides,12.53,0.61,11.90,0.77,0.6280,0.0082,Meinicke et al. (2020)
G4,Orbulina universa,12.75,0.76,12.33,1.01,0.6270,0.0082,Meinicke et al. (2020)
L1,Globigerinoides ruber white,12.88,0.62,18.47,1.42,0.6350,0.0076,Meinicke et al. (2020)
E9,Globorotalia tumida,13.46,1.09,13.96,1.95,0.6250,0.0074,Meinicke et al. (2020)
MD08-3179_truncaD,Globorotalia truncatulinoides (d.),13.59,0.66,16.04,1.26,0.6299,0.0041,Peral et al. (2018)
