Site,Lat,Lon,Depth,T,SE_T,Salinity,SE_Salinity,Omega_cc,SE_Omega_cc,d18Osw,SE_d18Osw,T_breitkreuz,SE_T_breitkreuz,Benthics/Planktics,Ref
MOCOSED,73.04,-11.93,1839,-0.78,0.50,34.909,0.005,1.615,0.007,0.29,0.10,-1.51,1.00,both,Peral et al. (2018)
MD04-2720,-49.13,71.36,750,2.26,0.10,34.622,0.079,1.473,0.118,-0.15,0.10,2.51,1.00,planktic,Peral et al. (2018)
MD12-3401,-44.69,80.40,3445,1.17,0.50,34.738,0.034,0.973,0.023,-0.11,0.10,-0.14,1.00,planktic,Peral et al. (2018)
MD95-2014,60.59,-22.08,2397,2.84,0.50,34.971,0.003,1.534,0.012,0.18,0.10,3.49,1.00,planktic,Peral et al. (2018)
MD08-3182,52.71,-35.94,1355,3.44,0.10,34.897,0.003,1.909,0.008,0.21,0.10,4.01,1.00,planktic,Peral et al. (2018)
MD03-2680,61.06,-24.55,1812,3.02,0.50,34.960,0.003,1.748,0.007,0.22,0.10,3.94,1.00,planktic,Peral et al. (2018)
2FPA1,43.67,-2.00,664,10.55,0.10,35.609,0.005,2.803,0.136,0.74,0.10,11.23,1.00,benthic,Peral et al. (2018)
SU90-03,40.05,-30.00,2475,3.32,0.50,34.931,0.018,1.524,0.046,0.18,0.10,3.29,1.00,planktic,Peral et al. (2018)
MD08-3179,37.86,-30.30,2036,3.77,0.50,34.986,0.006,1.682,0.010,0.20,0.10,3.55,1.00,planktic,Peral et al. (2018)
MD12-3426,19.73,114.61,3630,2.41,0.50,34.681,0.017,0.832,0.040,-0.13,0.10,1.69,1.00,planktic,Peral et al. (2018)
MD00-2360,-20.08,112.67,980,5.11,0.50,34.629,0.020,1.405,0.018,-0.05,0.10,4.61,1.00,planktic,Peral et al. (2018)
MD02-2577,28.84,-86.67,4076,4.27,0.50,34.893,0.010,1.076,0.011,0.11,0.10,0.68,1.00,planktic,Peral et al. (2018)
13MC-G,24.37,-83.24,348,10.57,0.15,35.691,0.231,3.432,0.332,0.54,0.10,12.09,1.00,benthic,Piasecki et al. (2019)
19MC-G,24.42,-83.21,173,15.40,0.65,36.465,0.268,4.794,0.391,0.93,0.10,19.12,1.02,benthic,Piasecki et al. (2019)
50MC-G,24.41,-83.22,198,14.32,0.54,36.446,0.252,4.475,0.364,0.86,0.10,17.96,1.02,benthic,Piasecki et al. (2019)
53MC-G,24.38,-83.23,302,11.58,0.33,36.000,0.220,3.887,0.321,0.61,0.10,13.35,1.01,benthic,Piasecki et al. (2019)
89MC-G,24.56,-79.24,353,15.23,0.50,35.964,0.146,3.713,0.227,0.54,0.10,12.15,1.01,benthic,Piasecki et al. (2019)
94MC-G,24.57,-79.23,259,18.11,0.50,36.374,0.148,4.108,0.228,0.71,0.10,15.42,1.01,benthic,Piasecki et al. (2019)
GS06-144-19,63.83,5.27,830,-0.54,0.10,34.901,0.005,1.981,0.012,0.29,0.10,2.33,1.00,benthic,Piasecki et al. (2019)
GS07-150-17-2,-4.47,-37.21,1000,4.17,0.10,34.568,0.006,1.514,0.027,0.13,0.10,4.81,1.00,benthic,Piasecki et al. (2019)
GS07-150-22-1,-4.33,-37.16,598,6.14,0.13,34.474,0.007,1.755,0.037,0.05,0.10,6.23,1.00,benthic,Piasecki et al. (2019)
MP43-BC,39.72,16.97,246,14.28,0.15,38.983,0.019,4.465,0.274,1.57,0.10,15.25,1.00,benthic,Piasecki et al. (2019)
MP46-MC,39.54,17.25,582,13.91,0.10,38.807,0.019,4.482,0.164,1.61,0.10,15.14,1.00,benthic,Piasecki et al. (2019)
SO213-54-4,-43.72,-120.67,3840,1.48,0.50,34.706,0.074,0.865,0.061,-0.15,0.10,-0.05,1.00,benthic,Piasecki et al. (2019)
SO213-71-2,-45.58,-157.90,689,6.88,0.10,34.374,0.063,2.072,0.133,0.03,0.10,7.62,1.00,benthic,Piasecki et al. (2019)
GS15-198-63MC,70.50,-2.80,2995,-0.79,0.50,34.910,0.004,1.254,0.006,0.49,0.10,-1.29,1.00,planktic,Meinicke et al. (2020)
GS15-198-38MC,70.10,-17.70,1610,-0.76,0.50,34.908,0.006,1.637,0.010,0.27,0.10,-1.38,1.00,planktic,Meinicke et al. (2020)
GS15-198-62MC,70.00,-13.60,1423,-0.76,0.10,34.908,0.009,1.680,0.010,0.26,0.10,-0.84,1.00,planktic,Meinicke et al. (2020)
GS06-144-19MC,63.80,5.20,922,-0.64,0.50,34.903,0.006,1.940,0.017,0.28,0.10,1.35,1.00,planktic,Meinicke et al. (2020)
CD107 A ML 5A,52.90,-16.90,3569,2.55,0.50,34.916,0.002,1.223,0.009,0.15,0.10,1.03,1.00,planktic,Meinicke et al. (2020)
CD94 17B,48.90,-11.80,1484,5.33,0.19,35.102,0.004,1.878,0.024,0.36,0.10,6.32,1.01,planktic,Meinicke et al. (2020)
KL88,34.80,-27.70,2060,3.63,0.50,35.002,0.006,1.685,0.015,0.20,0.10,3.43,1.00,planktic,Meinicke et al. (2020)
CD145 A150,23.30,66.70,151,20.26,0.39,36.346,0.137,2.170,0.201,0.74,0.10,21.41,1.06,planktic,Meinicke et al. (2020)
SO164-25-3,14.70,-59.70,2720,2.84,0.50,34.942,0.016,1.434,0.018,0.18,0.10,2.75,1.00,planktic,Meinicke et al. (2020)
OJP2016 MW0691 1.5BC11,-1.00,157.80,2016,2.21,0.50,34.640,0.008,1.100,0.015,-0.09,0.10,1.64,1.00,planktic,Meinicke et al. (2020)
WIND 33B,-11.20,58.80,2871,1.81,0.50,34.734,0.015,1.093,0.012,-0.05,0.10,0.95,1.00,planktic,Meinicke et al. (2020)
SO225-53-1,-13.50,-162.10,3154,1.67,0.50,34.678,0.017,1.004,0.015,-0.13,0.10,0.42,1.00,planktic,Meinicke et al. (2020)
SO213-84-2,-45.10,174.60,992,3.67,0.11,34.423,0.193,1.959,0.217,-0.11,0.10,4.74,1.00,planktic,Meinicke et al. (2020)
