Sample,Ref,d18Osw,sd18Osw,T,sT
0000,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0001,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0002,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0003,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0004,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0005,Waelbroeck et al (2005),-0.10,0.11,10.96,2.70
0006,Waelbroeck et al (2005),-0.10,0.11,10.96,2.70
0007,Waelbroeck et al (2005),-0.10,0.11,10.96,2.70
0008,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0009,Waelbroeck et al (2005),-0.10,0.11,10.96,2.70
0010,Waelbroeck et al (2005),-0.22,0.10,8.77,2.14
0011,Waelbroeck et al (2005),-0.22,0.11,9.02,2.04
0012,Waelbroeck et al (2005),-0.20,0.10,9.28,2.12
0013,Waelbroeck et al (2005),-0.20,0.10,9.28,2.12
0014,Waelbroeck et al (2005),-0.20,0.10,9.28,2.12
0015,Waelbroeck et al (2005),-0.20,0.10,9.28,2.12
0016,Waelbroeck et al (2005),-0.04,0.10,11.39,2.61
0017,Waelbroeck et al (2005),-0.22,0.10,8.61,2.16
0018,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0019,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0020,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0021,Waelbroeck et al (2005),0.83,0.11,16.88,2.13
0022,Waelbroeck et al (2005),0.83,0.11,16.88,2.13
0023,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0024,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0025,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0026,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0027,Waelbroeck et al (2005),0.88,0.11,14.82,2.17
0028,Waelbroeck et al (2005),0.82,0.11,16.48,2.14
0029,Waelbroeck et al (2005),0.83,0.11,16.97,2.24
0030,Waelbroeck et al (2005),0.74,0.10,14.92,2.22
0031,Waelbroeck et al (2005),0.83,0.11,17.20,2.35
0032,Waelbroeck et al (2005),0.82,0.11,16.47,2.21
0033,Waelbroeck et al (2005),0.82,0.11,16.37,2.24
0034,Waelbroeck et al (2005),0.34,0.14,13.50,2.94
0035,Waelbroeck et al (2005),0.05,0.10,12.99,3.44
0036,Waelbroeck et al (2005),0.05,0.10,12.99,3.44
0037,Waelbroeck et al (2005),0.04,0.10,12.69,3.39
0038,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0039,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0040,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0041,Waelbroeck et al (2005),-0.01,0.10,11.49,2.51
0042,Waelbroeck et al (2005),0.42,0.10,6.02,1.47
0043,Waelbroeck et al (2005),0.42,0.10,6.02,1.47
0044,Waelbroeck et al (2005),0.42,0.10,6.02,1.47
0045,Waelbroeck et al (2005),0.50,0.11,10.93,1.73
0046,Waelbroeck et al (2005),0.55,0.10,11.53,1.97
0047,Waelbroeck et al (2005),0.57,0.10,11.76,1.66
0048,Waelbroeck et al (2005),0.61,0.11,12.56,1.53
0049,Waelbroeck et al (2005),0.55,0.11,11.46,1.62
0050,Waelbroeck et al (2005),0.55,0.11,11.46,1.62
0051,Waelbroeck et al (2005),0.56,0.10,11.56,1.72
0052,Waelbroeck et al (2005),0.51,0.11,11.02,1.65
0053,Waelbroeck et al (2005),0.50,0.11,10.93,1.73
0054,Waelbroeck et al (2005),0.33,0.12,10.32,1.30
0055,Waelbroeck et al (2005),0.26,0.12,9.17,1.19
0056,Waelbroeck et al (2005),0.86,0.11,17.52,2.61
0057,Waelbroeck et al (2005),0.86,0.10,17.34,2.37
0058,Waelbroeck et al (2005),0.83,0.10,16.92,2.52
0059,Waelbroeck et al (2005),0.42,0.10,6.02,1.47
