Sample,Ref,d18Osw,sd18Osw,T,sT
0000,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0001,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0002,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0003,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0004,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0005,Waelbroeck et al (2005),-0.08,0.11,9.70,2.68
0006,Waelbroeck et al (2005),-0.08,0.11,9.70,2.68
0007,Waelbroeck et al (2005),-0.08,0.11,9.70,2.68
0008,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0009,Waelbroeck et al (2005),-0.08,0.11,9.70,2.68
0010,Waelbroeck et al (2005),-0.20,0.11,7.78,2.16
0011,Waelbroeck et al (2005),-0.19,0.11,7.99,2.13
0012,Waelbroeck et al (2005),-0.18,0.11,8.17,2.23
0013,Waelbroeck et al (2005),-0.18,0.11,8.17,2.23
0014,Waelbroeck et al (2005),-0.18,0.11,8.17,2.23
0015,Waelbroeck et al (2005),-0.18,0.11,8.17,2.23
0016,Waelbroeck et al (2005),-0.02,0.10,10.15,2.63
0017,Waelbroeck et al (2005),-0.20,0.11,7.66,2.14
0018,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0019,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0020,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0021,Waelbroeck et al (2005),0.79,0.12,15.28,2.69
0022,Waelbroeck et al (2005),0.79,0.12,15.28,2.69
0023,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0024,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0025,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0026,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0027,Waelbroeck et al (2005),0.94,0.13,13.98,2.08
0028,Waelbroeck et al (2005),0.79,0.12,15.01,2.56
0029,Waelbroeck et al (2005),0.79,0.12,15.31,2.79
0030,Waelbroeck et al (2005),0.71,0.11,13.86,2.26
0031,Waelbroeck et al (2005),0.79,0.12,15.42,2.95
0032,Waelbroeck et al (2005),0.79,0.12,14.99,2.60
0033,Waelbroeck et al (2005),0.80,0.11,15.21,2.51
0034,Waelbroeck et al (2005),0.27,0.16,11.91,3.32
0035,Waelbroeck et al (2005),0.04,0.10,11.25,3.49
0036,Waelbroeck et al (2005),0.04,0.10,11.25,3.49
0037,Waelbroeck et al (2005),0.04,0.10,11.11,3.34
0038,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0039,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0040,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0041,Waelbroeck et al (2005),0.00,0.10,10.28,2.54
0042,Waelbroeck et al (2005),0.40,0.10,5.70,1.38
0043,Waelbroeck et al (2005),0.40,0.10,5.70,1.38
0044,Waelbroeck et al (2005),0.40,0.10,5.70,1.38
0045,Waelbroeck et al (2005),0.50,0.10,10.62,1.53
0046,Waelbroeck et al (2005),0.55,0.10,11.01,1.77
0047,Waelbroeck et al (2005),0.57,0.10,11.40,1.50
0048,Waelbroeck et al (2005),0.60,0.10,12.13,1.45
0049,Waelbroeck et al (2005),0.55,0.10,11.15,1.46
0050,Waelbroeck et al (2005),0.55,0.10,11.15,1.46
0051,Waelbroeck et al (2005),0.56,0.10,11.21,1.54
0052,Waelbroeck et al (2005),0.51,0.10,10.73,1.47
0053,Waelbroeck et al (2005),0.50,0.10,10.62,1.53
0054,Waelbroeck et al (2005),0.37,0.12,10.05,1.25
0055,Waelbroeck et al (2005),0.30,0.12,9.01,1.14
0056,Waelbroeck et al (2005),0.80,0.13,15.86,2.97
0057,Waelbroeck et al (2005),0.81,0.12,15.93,2.64
0058,Waelbroeck et al (2005),0.78,0.12,15.43,2.78
0059,Waelbroeck et al (2005),0.40,0.10,5.70,1.38
0060,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0061,Waelbroeck et al (2005),0.40,0.10,5.70,1.38
0062,Waelbroeck et al (2005),1.59,0.11,16.14,1.73
0063,Waelbroeck et al (2005),0.33,0.17,12.55,3.74
0064,Waelbroeck et al (2005),0.33,0.13,13.60,4.68
0065,Waelbroeck et al (2005),-0.17,0.11,4.96,1.10
0066,Waelbroeck et al (2005),1.55,0.11,15.63,2.06
0067,Waelbroeck et al (2005),0.66,0.10,12.86,1.56
0068,Waelbroeck et al (2005),0.72,0.10,11.81,1.64
0069,Waelbroeck et al (2005),0.18,0.13,6.18,1.78
0070,Waelbroeck et al (2005),0.39,0.13,9.90,1.19
0071,Waelbroeck et al (2005),0.55,0.14,11.91,2.55
0072,Waelbroeck et al (2005),0.38,0.12,10.11,1.28
0073,Waelbroeck et al (2005),0.45,0.11,10.58,1.33
0074,Waelbroeck et al (2005),0.33,0.12,9.12,1.13
0075,Waelbroeck et al (2005),-0.15,0.14,9.48,2.88
0076,Waelbroeck et al (2005),-0.13,0.14,9.92,3.06
0077,Waelbroeck et al (2005),-0.13,0.14,9.92,3.06
0078,Waelbroeck et al (2005),-0.15,0.14,9.48,2.88
0079,Waelbroeck et al (2005),-0.09,0.11,9.01,1.47
0080,Waelbroeck et al (2005),0.31,0.10,3.50,1.30
0081,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0082,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0083,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0084,Waelbroeck et al (2005),0.80,0.11,15.05,2.41
0085,Waelbroeck et al (2005),0.80,0.11,15.05,2.41
0086,Waelbroeck et al (2005),0.80,0.11,15.05,2.41
0087,Waelbroeck et al (2005),0.80,0.11,15.05,2.41
0088,Waelbroeck et al (2005),0.80,0.11,15.21,2.51
0089,Waelbroeck et al (2005),0.80,0.11,15.21,2.51
0090,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0091,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0092,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0093,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0094,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0095,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0096,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0097,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0098,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0099,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0100,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0101,Waelbroeck et al (2005),0.80,0.11,14.99,2.39
0102,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0103,Waelbroeck et al (2005),0.79,0.12,14.99,2.60
0104,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0105,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0106,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0107,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0108,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0109,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0110,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0111,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0112,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0113,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0114,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0115,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0116,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0117,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0118,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0119,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
