corename,latitude,longitude,species,d18oc,reference,doi,subspecies,foram,t_annual,gridlat,gridlon,griddistance,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,t_seasonal,d18osw
GIK12303-3,26.2,-14.79,G. bulloides,-0.19,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,44.182884841634966,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
GeoB3373-1,-27.5,-71.21,G. bulloides,-0.34,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,28.63503177455976,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GeoB3371-1,-30.36,-72.02,G. bulloides,-0.38,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.47311019897461,-30.5,-72.5,48.6371581700776,1,1,1,1,1,1,1,1,1,1,1,1,15.47311019897461,0.02816939353942871
GeoB3368-4,-30.36,-71.96,G. bulloides,-0.24,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.47311019897461,-30.5,-72.5,54.12400928815689,1,1,1,1,1,1,1,1,1,1,1,1,15.47311019897461,0.02816939353942871
GeoB3365-1,-32.29,-72.27,G. bulloides,-0.54,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.353489875793457,-32.5,-72.5,31.84122000023389,1,1,1,1,1,1,1,1,1,1,1,1,15.353489875793457,-0.04116593673825264
GeoB3359-1,-35.22,-72.81,G. bulloides,-0.52,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.716202735900879,-35.5,-73.5,69.96708472565835,1,1,1,1,1,1,1,1,1,1,1,1,13.716202735900879,-0.14259202778339386
GeoB3357-1,-35.28,-73.22,G. bulloides,0.0,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.716202735900879,-35.5,-73.5,35.290919580617455,1,1,1,1,1,1,1,1,1,1,1,1,13.716202735900879,-0.14259202778339386
GeoB3354-1,-35.22,-73.49,G. bulloides,-0.31,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.716202735900879,-35.5,-73.5,31.182644525158636,1,1,1,1,1,1,1,1,1,1,1,1,13.716202735900879,-0.14259202778339386
GeoB3374-1,-27.47,-71.17,G. bulloides,0.04,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,32.75978515527859,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GeoB3349-4,-35.25,-73.42,G. bulloides,1.48,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.716202735900879,-35.5,-73.5,28.761578673992002,1,1,1,1,1,1,1,1,1,1,1,1,13.716202735900879,-0.14259202778339386
GeoB3326-1,-43.23,-79.0,G. bulloides,1.84,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.252642631530762,-43.5,-79.5,50.40546048215846,1,1,1,1,1,1,1,1,1,1,1,1,12.252642631530762,-0.2514118254184723
GeoB3323-6,-43.22,-75.95,G. bulloides,1.26,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.299320220947266,-43.5,-75.5,47.93737801071819,1,1,1,1,1,1,1,1,1,1,1,1,12.299320220947266,-0.3998914361000061
GeoB3318-2,-42.04,-75.32,G. bulloides,0.75,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.761000633239746,-42.5,-75.5,53.310271862298976,1,1,1,1,1,1,1,1,1,1,1,1,12.761000633239746,-0.37103813886642456
GeoB3317-6,-42.01,-75.3,G. bulloides,1.81,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.761000633239746,-42.5,-75.5,56.98114325774189,1,1,1,1,1,1,1,1,1,1,1,1,12.761000633239746,-0.37103813886642456
GeoB3316-1,-41.94,-75.21,G. bulloides,0.58,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.247649192810059,-41.5,-75.5,54.58648057008485,1,1,1,1,1,1,1,1,1,1,1,1,13.247649192810059,-0.3392544686794281
GeoB3314-2,-41.6,-74.98,G. bulloides,1.85,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.186271667480469,-41.5,-74.5,41.508712720581286,1,1,1,1,1,1,1,1,1,1,1,1,13.186271667480469,-0.36475029587745667
GeoB3308-3,-33.13,-73.75,G. bulloides,0.24,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.084758758544922,-33.5,-73.5,47.300260310873036,1,1,1,1,1,1,1,1,1,1,1,1,15.084758758544922,-0.07362645119428635
GeoB3327-6,-43.24,-79.99,G. bulloides,2.04,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.252642631530762,-43.5,-79.5,49.091108206313216,1,1,1,1,1,1,1,1,1,1,1,1,12.252642631530762,-0.2514118254184723
GeoB3375-2,-27.47,-71.25,G. bulloides,-0.71,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,24.91358610145224,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GeoB3376-2,-27.47,-71.36,G. bulloides,-0.2,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,14.223321682298856,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GeoB3377-1,-27.47,-71.53,G. bulloides,-0.2,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,4.464317240990076,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GIK12309-1,26.84,-15.11,G. bulloides,-0.56,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.388626098632812,26.5,-15.5,54.19952303930896,1,1,1,1,1,1,1,1,1,1,1,1,20.388626098632812,1.1407256126403809
GIK12308-2,26.65,-15.05,G. bulloides,-0.43,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.388626098632812,26.5,-15.5,47.81177627821093,1,1,1,1,1,1,1,1,1,1,1,1,20.388626098632812,1.1407256126403809
GIK12307-3,26.41,-14.96,G. bulloides,-0.35,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,46.92662975172224,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
GIK12306-2,26.49,-14.93,G. bulloides,-0.49,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,42.854387790425534,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
GIK12305-2,26.29,-14.86,G. bulloides,0.12,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,42.83793339256803,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
GIK12304-3,26.23,-14.81,G. bulloides,-0.3,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,43.120588513419094,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
SU 92-28,37.1,-9.48,G. bulloides,0.16,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,17.942121505737305,37.5,-9.5,44.562911632021155,1,1,1,1,1,1,1,1,1,1,1,1,17.942121505737305,0.9481886625289917
GIK12302-3,26.0,-14.67,G. bulloides,-0.03,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.953767776489258,26.5,-14.5,58.189802735739924,1,1,1,1,1,1,1,1,1,1,1,1,19.953767776489258,1.1407256126403809
GIK12301-5,27.05,-15.05,G. bulloides,-0.36,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.623838424682617,27.5,-15.5,67.02036448406503,1,1,1,1,1,1,1,1,1,1,1,1,20.623838424682617,1.1414424180984497
GEOFAR KF21,38.0,-29.09,G. bulloides,0.0,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,18.7841854095459,38.5,-29.5,66.2014918585573,1,1,1,1,1,1,1,1,1,1,1,1,18.7841854095459,0.8889465928077698
GeoB4241-11,29.1667,-15.4517,G. bulloides,0.56,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.541582107543945,29.5,-15.5,37.39764525692749,1,1,1,1,1,1,1,1,1,1,1,1,20.541582107543945,1.1382532119750977
GeoB4240-2,28.8883,-13.225,G. bulloides,-0.425,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.090068817138672,29.5,-13.5,73.14998166127377,1,1,1,1,1,1,1,1,1,1,1,1,20.090068817138672,1.1157982349395752
GeoB4223-2,29.0167,-12.4667,G. bulloides,0.02,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.74147605895996,29.5,-12.5,53.89766135472051,1,1,1,1,1,1,1,1,1,1,1,1,19.74147605895996,1.1041303873062134
GeoB3722-2,-25.25,12.0217,G. bulloides,0.09,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.89929962158203,-25.5,12.5,55.576801000112546,1,1,1,1,1,1,1,1,1,1,1,1,16.89929962158203,0.4464278519153595
GeoB3388-2,-25.22,-75.53,G. bulloides,1.2,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,18.07132339477539,-25.5,-75.5,31.315171651952717,1,1,1,1,1,1,1,1,1,1,1,1,18.07132339477539,0.22114220261573792
GeoB3387-3,-25.63,-75.53,G. bulloides,0.15,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,18.07132339477539,-25.5,-75.5,14.781782973482114,1,1,1,1,1,1,1,1,1,1,1,1,18.07132339477539,0.22114220261573792
GeoB3378-2,-27.5,-71.5,G. bulloides,-0.5,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.12361717224121,-27.5,-71.5,0.0,1,1,1,1,1,1,1,1,1,1,1,1,16.12361717224121,0.1436951458454132
GeoB3305-2,-32.85,-72.42,G. bulloides,-0.08,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.353489875793457,-32.5,-72.5,39.676333515774296,1,1,1,1,1,1,1,1,1,1,1,1,15.353489875793457,-0.04116593673825264
GeoB3303-1,-33.21,-72.18,G. bulloides,2.92,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.804057121276855,-33.5,-72.5,43.903185153551284,1,1,1,1,1,1,1,1,1,1,1,1,14.804057121276855,-0.07348690927028656
GeoB3302-2,-33.22,-72.09,G. bulloides,2.15,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.804057121276855,-33.5,-72.5,49.24135491796383,1,1,1,1,1,1,1,1,1,1,1,1,14.804057121276855,-0.07348690927028656
