Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0000,Globigerina bulloides,planktic,,26.20,-14.79,(0-300),,,-0.190,0.100,,,,,19.73,1.42,19.73,1.42,,,16.48,2.14,16.48,2.14,Globigerina bulloides,18.07,0.71,17.93,0.75,19.49,0.71,17.50,0.65,,,Waelbroeck et al (2005)
0001,Globigerina bulloides,planktic,,-27.50,-71.21,(0-300),,,-0.340,0.100,,,,,12.08,1.70,10.79,2.21,,,12.69,3.39,12.69,3.39,Globigerina bulloides,15.14,0.67,15.14,0.67,16.53,0.66,14.75,0.61,,,Waelbroeck et al (2005)
0002,Globigerina bulloides,planktic,,-30.36,-72.02,(0-300),,,-0.380,0.100,,,,,11.49,1.78,10.27,2.23,,,11.49,2.51,11.49,2.51,Globigerina bulloides,15.09,0.67,15.14,0.67,16.48,0.66,14.71,0.61,,,Waelbroeck et al (2005)
0003,Globigerina bulloides,planktic,,-30.36,-71.96,(0-300),,,-0.240,0.100,,,,,11.44,1.72,10.23,2.18,,,11.49,2.51,11.49,2.51,Globigerina bulloides,14.45,0.66,14.49,0.66,15.83,0.66,14.10,0.61,,,Waelbroeck et al (2005)
0004,Globigerina bulloides,planktic,,-32.29,-72.27,(0-300),,,-0.540,0.100,,,,,11.16,1.62,10.02,2.13,,,11.49,2.51,11.49,2.51,Globigerina bulloides,15.83,0.67,15.88,0.67,17.23,0.66,15.40,0.61,,,Waelbroeck et al (2005)
0005,Globigerina bulloides,planktic,,-35.22,-72.81,(0-300),,,-0.520,0.100,,,,,12.38,1.04,12.38,1.04,,,10.96,2.70,10.96,2.70,Globigerina bulloides,15.32,0.70,15.41,0.70,16.71,0.69,14.92,0.64,,,Waelbroeck et al (2005)
0006,Globigerina bulloides,planktic,,-35.28,-73.22,(0-300),,,0.000,0.100,,,,,10.68,1.30,9.66,1.88,,,10.96,2.70,10.96,2.70,Globigerina bulloides,12.94,0.69,13.03,0.69,14.31,0.68,12.69,0.63,,,Waelbroeck et al (2005)
0007,Globigerina bulloides,planktic,,-35.22,-73.49,(0-300),,,-0.310,0.100,,,,,10.74,1.44,9.68,1.99,,,10.96,2.70,10.96,2.70,Globigerina bulloides,14.36,0.70,14.45,0.70,15.74,0.69,14.02,0.64,,,Waelbroeck et al (2005)
0008,Globigerina bulloides,planktic,,-27.47,-71.17,(0-300),,,0.040,0.100,,,,,12.06,1.67,10.77,2.18,,,12.69,3.39,12.69,3.39,Globigerina bulloides,13.40,0.66,13.40,0.66,14.77,0.65,13.12,0.60,,,Waelbroeck et al (2005)
0009,Globigerina bulloides,planktic,,-35.25,-73.42,(0-300),,,1.480,0.100,,,,,10.73,1.39,9.70,1.95,,,10.96,2.70,10.96,2.70,Globigerina bulloides,6.38,0.66,6.47,0.66,7.69,0.65,6.53,0.61,discordant,,Waelbroeck et al (2005)
