Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
0000,Globigerina bulloides,,26.20,-14.79,(0-300),19.73,1.42,
0001,Globigerina bulloides,,-27.50,-71.21,(0-300),12.08,1.70,
0002,Globigerina bulloides,,-30.36,-72.02,(0-300),11.49,1.78,
0003,Globigerina bulloides,,-30.36,-71.96,(0-300),11.44,1.72,
0004,Globigerina bulloides,,-32.29,-72.27,(0-300),11.16,1.62,
0005,Globigerina bulloides,,-35.22,-72.81,(0-300),12.38,1.04,
0006,Globigerina bulloides,,-35.28,-73.22,(0-300),10.68,1.30,
0007,Globigerina bulloides,,-35.22,-73.49,(0-300),10.74,1.44,
0008,Globigerina bulloides,,-27.47,-71.17,(0-300),12.06,1.67,
0009,Globigerina bulloides,,-35.25,-73.42,(0-300),10.73,1.39,discordant
0010,Globigerina bulloides,,-43.23,-79.00,(0-300),9.33,2.05,discordant
0011,Globigerina bulloides,,-43.22,-75.95,(0-300),9.58,1.69,
0012,Globigerina bulloides,,-42.04,-75.32,(0-300),9.86,1.75,
0013,Globigerina bulloides,,-42.01,-75.30,(0-300),9.83,1.71,discordant
0014,Globigerina bulloides,,-41.94,-75.21,(0-300),9.83,1.69,
0015,Globigerina bulloides,,-41.60,-74.98,(0-300),9.82,1.61,discordant
0016,Globigerina bulloides,,-33.13,-73.75,(0-300),11.13,2.04,
0017,Globigerina bulloides,,-43.24,-79.99,(0-300),9.29,2.15,discordant
0018,Globigerina bulloides,,-27.47,-71.25,(0-300),12.04,1.67,
0019,Globigerina bulloides,,-27.47,-71.36,(0-300),12.03,1.73,
0020,Globigerina bulloides,,-27.47,-71.53,(0-300),11.93,1.65,
0021,Globigerina bulloides,,26.84,-15.11,(0-300),17.55,2.07,
0022,Globigerina bulloides,,26.65,-15.05,(0-300),17.53,2.07,
0023,Globigerina bulloides,,26.41,-14.96,(0-300),17.45,2.08,
0024,Globigerina bulloides,,26.49,-14.93,(0-300),17.43,2.11,
0025,Globigerina bulloides,,26.29,-14.86,(0-300),19.94,1.45,discordant
0026,Globigerina bulloides,,26.23,-14.81,(0-300),19.78,1.44,
0027,Globigerina bulloides,,37.10,-9.48,(0-300),15.01,1.82,
0028,Globigerina bulloides,,26.00,-14.67,(0-300),20.10,1.60,
0029,Globigerina bulloides,,27.05,-15.05,(0-300),17.57,2.10,
0030,Globigerina bulloides,,38.00,-29.09,(0-300),15.90,2.06,
0031,Globigerina bulloides,,29.17,-15.45,(0-300),17.87,2.11,
0033,Globigerina bulloides,,29.02,-12.47,(0-300),16.78,1.92,
0034,Globigerina bulloides,,-25.25,12.02,(0-300),13.19,2.63,
0035,Globigerina bulloides,,-25.22,-75.53,(0-300),13.03,2.85,
0036,Globigerina bulloides,,-25.63,-75.53,(0-300),12.86,2.80,
0037,Globigerina bulloides,,-27.50,-71.50,(0-300),11.98,1.72,
0038,Globigerina bulloides,,-32.85,-72.42,(0-300),11.13,1.63,
0039,Globigerina bulloides,,-33.21,-72.18,(0-300),11.05,1.47,discordant
0040,Globigerina bulloides,,-33.22,-72.09,(0-300),11.05,1.43,discordant
0041,Globigerina bulloides,,-33.15,-71.98,(0-300),11.03,1.31,discordant
0042,Globigerina bulloides,,68.26,12.34,(0-300),7.49,1.35,
