Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
0000,Globigerina bulloides,,26.20,-14.79,(0-500),19.73,1.42,
0001,Globigerina bulloides,,-27.50,-71.21,(0-500),10.79,2.21,
0002,Globigerina bulloides,,-30.36,-72.02,(0-500),10.27,2.23,
0003,Globigerina bulloides,,-30.36,-71.96,(0-500),10.23,2.18,
0004,Globigerina bulloides,,-32.29,-72.27,(0-500),10.02,2.13,
0005,Globigerina bulloides,,-35.22,-72.81,(0-500),12.38,1.04,
0006,Globigerina bulloides,,-35.28,-73.22,(0-500),9.66,1.88,
0007,Globigerina bulloides,,-35.22,-73.49,(0-500),9.68,1.99,
0008,Globigerina bulloides,,-27.47,-71.17,(0-500),10.77,2.18,
0009,Globigerina bulloides,,-35.25,-73.42,(0-500),9.70,1.95,
0010,Globigerina bulloides,,-43.23,-79.00,(0-500),8.15,2.34,
0011,Globigerina bulloides,,-43.22,-75.95,(0-500),8.48,2.13,
0012,Globigerina bulloides,,-42.04,-75.32,(0-500),8.77,2.21,
0013,Globigerina bulloides,,-42.01,-75.30,(0-500),8.74,2.18,
0014,Globigerina bulloides,,-41.94,-75.21,(0-500),8.73,2.16,
0015,Globigerina bulloides,,-41.60,-74.98,(0-500),8.72,2.09,
0016,Globigerina bulloides,,-33.13,-73.75,(0-500),9.90,2.48,
0017,Globigerina bulloides,,-43.24,-79.99,(0-500),8.13,2.40,discordant
0018,Globigerina bulloides,,-27.47,-71.25,(0-500),10.75,2.19,
0019,Globigerina bulloides,,-27.47,-71.36,(0-500),10.75,2.22,
0020,Globigerina bulloides,,-27.47,-71.53,(0-500),10.67,2.18,
0021,Globigerina bulloides,,26.84,-15.11,(0-500),15.57,2.85,
0022,Globigerina bulloides,,26.65,-15.05,(0-500),15.57,2.86,
0023,Globigerina bulloides,,26.41,-14.96,(0-500),15.49,2.84,
0024,Globigerina bulloides,,26.49,-14.93,(0-500),15.48,2.85,
0025,Globigerina bulloides,,26.29,-14.86,(0-500),19.94,1.45,discordant
0026,Globigerina bulloides,,26.23,-14.81,(0-500),19.78,1.44,
0027,Globigerina bulloides,,37.10,-9.48,(0-500),13.77,1.96,
0028,Globigerina bulloides,,26.00,-14.67,(0-500),20.10,1.60,
0029,Globigerina bulloides,,27.05,-15.05,(0-500),15.58,2.88,
0030,Globigerina bulloides,,38.00,-29.09,(0-500),14.63,2.21,
0031,Globigerina bulloides,,29.17,-15.45,(0-500),15.95,2.87,
0033,Globigerina bulloides,,29.02,-12.47,(0-500),15.38,2.45,
0034,Globigerina bulloides,,-25.25,12.02,(0-500),11.36,3.28,
0035,Globigerina bulloides,,-25.22,-75.53,(0-500),11.28,3.26,
0036,Globigerina bulloides,,-25.63,-75.53,(0-500),11.14,3.19,
0037,Globigerina bulloides,,-27.50,-71.50,(0-500),10.72,2.23,
0038,Globigerina bulloides,,-32.85,-72.42,(0-500),9.98,2.15,
0039,Globigerina bulloides,,-33.21,-72.18,(0-500),9.99,1.99,discordant
0040,Globigerina bulloides,,-33.22,-72.09,(0-500),10.01,1.95,discordant
0041,Globigerina bulloides,,-33.15,-71.98,(0-500),10.03,1.87,discordant
0042,Globigerina bulloides,,68.26,12.34,(0-500),7.49,1.35,
0043,Globigerina bulloides,,67.75,11.18,(0-500),7.81,1.34,
0044,Globigerina bulloides,,67.69,11.03,(0-500),7.78,1.29,
0045,Globigerina bulloides,,47.62,-20.92,(0-500),12.06,1.22,
0046,Globigerina bulloides,,44.00,-20.02,(0-500),12.79,1.34,
0047,Globigerina bulloides,,45.00,-24.66,(0-500),12.90,1.41,
0048,Globigerina bulloides,,45.35,-27.15,(0-500),12.87,1.49,
0049,Globigerina bulloides,,46.21,-23.72,(0-500),12.41,1.33,
0050,Globigerina bulloides,,46.29,-23.60,(0-500),12.39,1.29,
0051,Globigerina bulloides,,45.99,-23.85,(0-500),12.50,1.34,
0052,Globigerina bulloides,,47.17,-21.39,(0-500),12.17,1.27,
0053,Globigerina bulloides,,47.67,-20.81,(0-500),12.03,1.19,
0054,Globigerina bulloides,,53.06,-20.80,(0-500),10.04,1.19,
0055,Globigerina bulloides,,58.50,-20.49,(0-500),9.03,0.72,discordant
0056,Globigerina bulloides,,31.31,-30.48,(0-500),17.35,2.58,
0057,Globigerina bulloides,,33.75,-32.16,(0-500),16.68,2.61,
0058,Globigerina bulloides,,33.85,-30.09,(0-500),16.17,2.63,
0059,Globigerina bulloides,,68.23,12.47,(0-500),7.58,1.46,
0060,Globigerina bulloides,,22.48,-17.15,(0-500),18.78,0.97,
0061,Globigerina bulloides,,68.19,12.30,(0-500),7.45,1.36,
0062,Globigerina bulloides,,36.50,24.33,(0-500),16.61,2.28,
0063,Globigerina bulloides,,-17.16,11.01,(0-500),11.80,3.02,
0064,Globigerina bulloides,,-6.58,10.32,(0-500),13.30,4.58,
0065,Globigerina bulloides,,-56.00,-115.00,(0-500),4.83,0.70,
0066,Globigerina bulloides,,36.69,12.28,(0-500),17.05,2.69,
0067,Globigerina bulloides,,43.50,-29.87,(0-500),13.79,1.70,
0068,Globigerina bulloides,,45.75,-3.95,(0-500),12.03,1.30,
0069,Globigerina bulloides,,52.71,-36.09,(0-500),5.69,1.41,
0070,Globigerina bulloides,,54.64,-16.36,(0-500),10.42,0.87,
0071,Globigerina bulloides,,41.76,-47.35,(0-500),11.59,2.76,
0072,Globigerina bulloides,,52.50,-22.07,(0-500),9.91,1.19,
0073,Globigerina bulloides,,50.69,-21.87,(0-500),10.52,1.12,
0074,Globigerina bulloides,,58.00,-16.51,(0-500),9.40,0.66,
0075,Globigerina bulloides,,33.01,-119.06,(0-500),9.11,2.45,
0076,Globigerina bulloides,,31.87,-118.12,(0-500),9.39,2.79,
0077,Globigerina bulloides,,31.47,-118.42,(0-500),9.51,2.98,
0078,Globigerina bulloides,,32.80,-119.86,(0-500),9.13,2.57,
0079,Globigerina bulloides,,-45.52,174.95,(0-500),7.90,1.50,
0080,Globigerina bulloides,,70.00,3.99,(0-500),5.59,0.94,
0081,Globigerina bulloides,,22.50,-17.22,(0-500),18.99,1.04,
0082,Globigerina bulloides,,22.71,-17.16,(0-500),18.31,1.19,
0083,Globigerina bulloides,,22.71,-17.13,(0-500),18.29,1.18,
0084,Globigerina bulloides,,29.02,-11.90,(0-500),18.47,1.27,
0085,Globigerina bulloides,,29.04,-11.92,(0-500),18.46,1.28,
0086,Globigerina bulloides,,29.06,-11.95,(0-500),18.50,1.29,
0087,Globigerina bulloides,,29.08,-11.98,(0-500),18.53,1.26,
0088,Globigerina bulloides,,29.17,-12.09,(0-500),15.01,2.52,
0089,Globigerina bulloides,,29.22,-12.84,(0-500),15.13,2.61,
0090,Globigerina bulloides,,19.62,-17.25,(0-500),13.25,2.89,
0097,Globigerina bulloides,,21.00,-17.58,(0-500),18.65,1.37,
0098,Globigerina bulloides,,21.02,-17.88,(0-500),14.04,2.59,
0099,Globigerina bulloides,,20.99,-18.03,(0-500),14.07,2.64,
0100,Globigerina bulloides,,20.98,-17.88,(0-500),13.98,2.58,
0101,Globigerina bulloides,,28.91,-11.70,(0-500),18.61,1.35,
0102,Globigerina bulloides,,21.00,-17.73,(0-500),15.82,2.00,
0103,Globigerina bulloides,,28.26,-13.40,(0-500),15.12,2.54,
0104,Globigerina bulloides,,32.21,-10.45,(0-500),14.91,2.43,
0105,Globigerina bulloides,,34.89,-7.82,(0-500),14.48,2.48,
0106,Globigerina bulloides,,34.93,-6.93,(0-500),14.62,2.37,
0107,Globigerina bulloides,,34.92,-6.85,(0-500),17.46,1.81,
0108,Globigerina bulloides,,34.89,-6.70,(0-500),17.45,1.72,
0109,Globigerina bulloides,,34.89,-6.67,(0-500),17.47,1.72,
0110,Globigerina bulloides,,34.87,-6.63,(0-500),18.10,1.79,
0112,Globigerina bulloides,,32.37,-9.65,(0-500),19.58,1.56,
0113,Globigerina bulloides,,32.38,-9.77,(0-500),18.34,1.51,
0114,Globigerina bulloides,,32.38,-9.78,(0-500),18.36,1.51,
0115,Globigerina bulloides,,32.39,-9.80,(0-500),18.39,1.50,
0116,Globigerina bulloides,,32.40,-9.81,(0-500),18.43,1.51,
0117,Globigerina bulloides,,32.40,-9.82,(0-500),18.45,1.51,
0118,Globigerina bulloides,,32.41,-9.85,(0-500),18.48,1.50,
0119,Globigerina bulloides,,32.43,-9.87,(0-500),18.53,1.55,
0120,Globigerina bulloides,,32.45,-9.96,(0-500),14.76,2.39,
0121,Globigerina bulloides,,32.49,-10.11,(0-500),14.88,2.50,
0122,Globigerina bulloides,,27.20,-14.66,(0-500),15.28,2.72,
0123,Globigerina bulloides,,35.41,-29.42,(0-500),15.02,2.68,
0124,Globigerina bulloides,,20.99,-17.70,(0-500),15.80,2.06,
0125,Globigerina bulloides,,20.99,-17.66,(0-500),15.78,2.06,
0126,Globigerina bulloides,,12.54,-17.59,(0-500),20.30,4.17,
0127,Globigerina bulloides,,12.54,-17.56,(0-500),20.22,4.13,
0128,Globigerina bulloides,,15.43,-17.34,(0-500),15.66,3.66,
0129,Globigerina bulloides,,15.40,-17.28,(0-500),15.70,3.70,
0130,Globigerina bulloides,,15.38,-17.25,(0-500),15.82,3.79,
0131,Globigerina bulloides,,15.38,-17.20,(0-500),15.82,3.80,
0132,Globigerina bulloides,,15.35,-17.19,(0-500),19.82,3.78,
0133,Globigerina bulloides,,15.34,-18.18,(0-500),13.49,3.76,
0135,Globigerina bulloides,,21.15,-18.57,(0-500),14.52,2.92,
0136,Globigerina bulloides,,23.13,-17.74,(0-500),15.26,2.92,
0137,Globigerina bulloides,,23.04,-17.41,(0-500),14.92,2.81,
0138,Globigerina bulloides,,22.99,-17.33,(0-500),17.38,1.66,
0139,Globigerina bulloides,,22.92,-17.22,(0-500),17.12,1.70,
0140,Globigerina bulloides,,22.91,-17.19,(0-500),17.05,1.69,
0141,Globigerina bulloides,,22.90,-17.16,(0-500),16.98,1.72,
0142,Globigerina bulloides,,22.86,-17.15,(0-500),18.38,1.19,
0143,Globigerina bulloides,,12.54,-17.60,(0-500),20.36,4.18,
0144,Globigerina bulloides,,20.99,-17.68,(0-500),15.81,2.08,
0145,Globigerina bulloides,,12.53,-17.62,(0-500),20.35,4.20,
0146,Globigerina bulloides,,14.12,-17.52,(0-500),19.80,4.01,
0147,Globigerina bulloides,,21.00,-17.62,(0-500),18.69,1.30,
0148,Globigerina bulloides,,19.37,-19.93,(0-500),14.14,3.47,
0149,Globigerina bulloides,,18.05,-18.07,(0-500),13.29,3.37,
0150,Globigerina bulloides,,18.08,-18.01,(0-500),13.26,3.33,
0151,Globigerina bulloides,,18.88,-16.74,(0-500),18.81,3.32,
0152,Globigerina bulloides,,18.84,-18.77,(0-500),13.38,3.29,
0153,Globigerina bulloides,,18.73,-16.96,(0-500),13.37,3.14,
0154,Globigerina bulloides,,18.75,-16.83,(0-500),17.03,3.18,
0155,Globigerina bulloides,,18.75,-16.83,(0-500),17.03,3.18,
0156,Globigerina bulloides,,18.77,-16.89,(0-500),13.31,3.03,
0157,Globigerina bulloides,,14.15,-17.87,(0-500),13.54,3.71,
0158,Globigerina bulloides,,14.14,-17.65,(0-500),13.55,3.66,
0159,Globigerina bulloides,,14.11,-17.60,(0-500),19.65,3.89,
0160,Globigerina bulloides,,14.11,-17.55,(0-500),19.76,4.02,
0161,Globigerina bulloides,,14.12,-17.54,(0-500),19.81,4.02,
0162,Globigerina bulloides,,14.12,-17.53,(0-500),19.80,4.01,
0163,Globigerina bulloides,,14.12,-17.52,(0-500),19.80,4.01,
0164,Globigerina bulloides,,14.13,-17.45,(0-500),19.78,3.99,
0165,Globigerina bulloides,,38.57,-25.03,(0-500),13.99,2.13,
0166,Globigerina bulloides,,38.91,-25.02,(0-500),13.92,2.02,
0167,Globigerina bulloides,,40.41,-25.75,(0-500),13.69,1.93,
0168,Globigerina bulloides,,1.60,96.66,(0-500),15.88,7.08,
0169,Globigerina bulloides,,1.76,96.77,(0-500),15.68,6.94,
0170,Globigerina bulloides,,1.99,97.79,(0-500),29.36,0.99,
0171,Globigerina bulloides,,2.05,97.80,(0-500),29.36,1.07,
0172,Globigerina bulloides,,2.49,97.12,(0-500),20.60,7.08,
0173,Globigerina bulloides,,2.56,96.76,(0-500),24.98,5.25,
0174,Globigerina bulloides,,2.56,96.76,(0-500),25.00,5.24,
0175,Globigerina bulloides,,2.78,96.42,(0-500),28.31,2.17,
0176,Globigerina bulloides,,2.82,96.61,(0-500),28.24,2.35,
0177,Globigerina bulloides,,2.83,96.39,(0-500),28.22,2.26,
0178,Globigerina bulloides,,2.99,96.22,(0-500),16.58,7.06,
0179,Globigerina bulloides,,3.01,96.25,(0-500),16.48,7.02,
0180,Globigerina bulloides,,3.20,96.78,(0-500),19.56,7.33,
0181,Globigerina bulloides,,3.27,96.15,(0-500),15.80,7.08,
0182,Globigerina bulloides,,3.52,96.31,(0-500),28.81,1.58,
0183,Globigerina bulloides,,3.87,96.01,(0-500),29.29,0.51,
0184,Globigerina bulloides,,1.45,98.05,(0-500),29.20,0.92,
0185,Globigerina bulloides,,44.00,-20.02,(0-500),12.78,1.33,
0187,Globigerina bulloides,,0.95,98.13,(0-500),29.29,1.10,
0188,Globigerina bulloides,,-1.62,100.00,(0-500),16.00,7.44,
0189,Globigerina bulloides,,-1.56,99.95,(0-500),16.00,7.42,
0190,Globigerina bulloides,,-1.50,100.13,(0-500),28.83,1.83,
0191,Globigerina bulloides,,-1.46,100.23,(0-500),28.70,2.33,
0192,Globigerina bulloides,,-1.30,99.72,(0-500),15.95,7.40,
0193,Globigerina bulloides,,-1.18,97.98,(0-500),15.83,7.04,
0194,Globigerina bulloides,,-0.95,98.26,(0-500),15.67,6.90,
0195,Globigerina bulloides,,-0.94,99.52,(0-500),15.84,7.31,
0196,Globigerina bulloides,,-0.87,99.80,(0-500),25.41,5.29,
0197,Globigerina bulloides,,-0.81,99.65,(0-500),24.70,5.62,
0199,Globigerina bulloides,,-0.77,99.27,(0-500),15.99,7.35,
