Age,SLice,SLice max,SLice min,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),Temperature (long),Temperature max (long),Temperature min (long)
9.2,-5.65,-2.40,-9.00,3.00,3.30,2.56,-13.27,-4.91,-11.70,,3.61,2.87
9.3,-5.64,-2.39,-8.99,3.07,3.38,2.63,-12.81,-4.36,-11.67,3.47,3.63,2.87
9.4,-5.63,-2.37,-8.97,3.10,3.42,2.66,-12.32,-3.80,-11.62,3.48,3.64,2.88
9.5,-5.61,-2.34,-8.94,3.11,3.43,2.66,-11.80,-3.24,-11.57,3.49,3.65,2.88
9.6,-5.58,-2.32,-8.92,3.13,3.45,2.67,-11.25,-2.68,-11.50,3.49,3.66,2.89
9.7,-5.56,-2.29,-8.89,3.20,3.53,2.74,-10.67,-2.12,-11.42,3.49,3.68,2.89
9.8,-5.50,-2.22,-8.82,3.32,3.65,2.86,-10.05,-1.56,-11.32,3.49,3.68,2.89
9.9,-5.41,-2.12,-8.72,3.48,3.81,3.01,-9.41,-1.00,-11.22,3.49,3.69,2.89
10.0,-5.28,-1.98,-8.53,3.62,3.95,3.14,-8.74,-0.44,-11.10,3.48,3.70,2.89
10.1,-5.12,-1.76,-8.22,3.67,4.00,3.19,-8.07,0.11,-10.96,3.48,3.71,2.89
10.2,-4.97,-1.43,-7.85,3.64,3.98,3.16,-7.40,0.66,-10.82,3.47,3.72,2.89
10.3,-5.00,-0.98,-7.78,3.59,3.93,3.09,-6.75,1.20,-10.66,3.45,3.73,2.89
10.4,-5.40,-0.39,-8.54,3.52,3.86,3.02,-6.12,1.74,-10.50,3.44,3.73,2.89
10.5,-6.36,0.32,-10.63,3.46,3.81,2.96,-5.53,2.27,-10.32,3.43,3.74,2.89
10.6,-7.89,1.12,-14.15,3.45,3.80,2.94,-4.98,2.80,-10.15,3.42,3.75,2.89
10.7,-9.72,1.96,-18.55,3.48,3.83,2.97,-4.48,3.31,-9.96,3.41,3.75,2.89
10.8,-11.39,2.81,-22.76,3.54,3.90,3.02,-4.02,3.83,-9.78,3.41,3.76,2.89
10.9,-12.33,3.66,-25.58,3.63,3.99,3.11,-3.61,4.33,-9.61,3.40,3.77,2.88
11.0,-12.13,4.51,-26.13,3.72,4.09,3.20,-3.24,4.83,-9.45,3.40,3.77,2.88
11.1,-10.65,5.36,-24.10,3.76,4.13,3.23,-2.90,5.33,-9.30,3.40,3.78,2.88
11.2,-8.03,6.20,-19.83,3.73,4.10,3.19,-2.58,5.83,-9.16,3.41,3.78,2.87
11.3,-4.63,7.11,-14.12,3.65,4.03,3.11,-2.27,6.33,-9.04,3.41,3.77,2.86
11.4,-0.89,8.24,-7.98,3.54,3.92,3.00,-1.94,6.85,-8.89,3.41,3.77,2.85
11.5,2.78,9.82,-2.43,3.39,3.77,2.84,-1.60,7.21,-8.53,3.42,3.78,2.85
11.6,5.95,12.02,1.66,3.22,3.60,2.67,-1.27,7.55,-8.12,3.43,3.79,2.85
11.7,8.21,14.73,3.69,3.06,3.45,2.51,-0.87,7.89,-7.64,3.44,3.80,2.85
11.8,9.18,17.28,3.58,2.93,3.33,2.37,-0.41,8.22,-7.08,3.46,3.81,2.86
