Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
0.000,1.29,0.00,,0.0,-0.22,-63.10,-0.42,-69.83
0.001,1.29,0.00,,0.1,-0.20,-62.49,-0.37,-67.85
0.002,1.37,3.33,,0.2,-0.19,-62.03,-0.32,-65.86
0.003,1.19,-4.00,,0.3,-0.17,-61.25,-0.27,-63.87
0.004,1.17,-4.67,,0.4,-0.17,-61.08,-0.22,-61.88
0.005,1.24,-2.00,,0.5,-0.18,-61.42,-0.17,-59.89
0.006,1.13,-6.67,,0.6,-0.18,-61.60,-0.11,-57.89
0.007,1.06,-9.33,,0.7,-0.16,-60.90,-0.06,-55.89
0.008,0.98,-12.67,,0.8,-0.12,-58.87,-0.01,-53.90
0.009,1.05,-10.00,,0.9,-0.04,-55.85,0.04,-51.90
0.010,0.83,-19.33,,1.0,0.04,-52.36,0.09,-49.90
0.011,0.70,-24.67,,1.1,0.12,-48.90,0.14,-47.91
0.012,0.19,-46.00,,1.2,0.19,-45.86,0.20,-45.92
0.013,-0.03,-55.33,,1.3,0.25,-43.41,0.25,-43.92
0.014,-0.38,-70.00,,1.4,0.30,-41.51,0.30,-41.94
0.015,-0.71,-84.00,,1.5,0.33,-40.06,0.35,-39.95
0.016,-1.13,-101.33,,1.6,0.36,-38.78,0.41,-37.96
0.017,-1.33,-110.00,,1.7,0.40,-37.32,0.46,-35.98
0.018,-1.56,-119.33,,1.8,0.44,-35.61,0.52,-34.00
0.019,-1.46,-115.33,,1.9,0.49,-33.63,0.57,-32.02
0.020,-1.51,-117.33,,2.0,0.54,-31.46,0.63,-30.04
0.021,-1.38,-112.00,,2.1,0.59,-29.32,0.68,-28.05
0.022,-1.33,-110.00,,2.2,0.64,-27.28,0.74,-26.05
0.023,-1.30,-108.67,,2.3,0.68,-25.35,0.81,-24.04
0.024,-1.22,-105.33,,2.4,0.73,-23.37,0.88,-21.99
0.025,-1.24,-106.00,,2.5,0.79,-20.94,0.95,-20.17
0.026,-1.00,-96.00,,2.6,0.86,-17.74,1.02,-18.44
0.027,-1.13,-101.33,,2.7,0.96,-13.84,1.10,-16.80
0.028,-1.13,-101.33,,2.8,1.06,-9.60,1.18,-15.27
0.029,-1.10,-100.00,,2.9,1.16,-5.71,1.26,-13.84
0.030,-0.92,-92.67,,3.0,1.26,-2.80,1.34,-12.51
0.031,-0.92,-92.67,,3.1,1.34,-0.94,1.42,-11.30
0.032,-0.89,-91.33,,3.2,1.43,0.07,1.50,-10.19
0.033,-0.86,-90.00,,3.3,1.53,0.63,1.58,-9.20
0.034,-0.87,-90.67,,3.4,1.64,1.19,1.67,-8.32
0.035,-0.79,-87.33,,3.5,1.75,1.72,1.75,-7.56
0.036,-0.65,-81.33,,3.6,1.86,2.03,1.84,-6.93
0.037,-0.67,-82.00,,3.7,1.97,2.05,1.93,-6.43
0.038,-0.59,-78.67,,3.8,2.07,1.75,2.01,-6.07
0.039,-0.81,-88.00,,3.9,2.16,1.24,2.10,-5.84
0.040,-0.81,-88.00,,4.0,2.26,0.76,2.18,-5.75
