Age (Ma CENOGRID),Site,CC,sample,depth (mbsf),depth (revised mcd),Lab,Reference,D47 avg I-CDES (‰),N,D47 SE (‰),Temp (°C),Temp 95% CI (°C),d18O Cibicidoides (‰ VPDB),d18Osw (‰ VSMOW),d18Osw 95% CI (‰),d18O Cibicidoides pH corrected (‰ VPDB),d18Osw pH corrected (‰ VSMOW),d13C Cibicidoides (‰ VPDB),d18O Nuttalides (‰ VPDB),d13C Nuttalides (‰ VPDB),Comments
0.27,1410,B1,,3.77,3.67,UiB,,0.681,27,0.008,0.7,4.1,4.20,1.08,1.02,4.20,1.08,0.31,,,
1.18,1410,B2,,11.83,12.78,UiB,,0.684,26,0.008,0.0,4.2,4.27,0.95,1.01,4.25,0.94,-0.13,,,
1.69,1410,A2,,18.39,17.59,UiB,,0.676,28,0.004,2.0,2.4,3.87,1.06,0.57,3.85,1.04,0.88,,,
2.00,1410,B3,,22.16,22.71,UiB,,0.682,23,0.008,0.5,4.3,3.24,0.05,1.01,3.21,0.02,0.74,,,
2.22,1410,C3,,25.73,27.08,UiB,,0.671,32,0.006,3.4,3.3,3.29,0.79,0.77,3.26,0.76,0.81,,,
2.30,1410,A3,,27.88,28.58,UiB,,0.677,29,0.006,1.8,3.3,3.17,0.29,0.79,3.14,0.26,0.99,,,
2.50,1410,B4,,31.27,32.42,UiB,,0.673,24,0.006,2.8,3.3,2.96,0.34,0.78,2.93,0.31,0.13,,,
7.79,1410,C4,,35.06,36.63,UiB,,0.661,25,0.009,6.1,4.9,2.46,0.60,1.10,2.35,0.49,0.70,,,
15.32,1406,B1,,4.26,4.26,UiB,,0.646,18,0.009,10.3,5.0,1.95,1.05,1.11,1.74,0.84,0.82,,,
15.95,1406,A1,,6.2,6.2,UiB+ETH,,0.658,15,0.010,7.0,5.5,1.67,0.02,1.26,1.45,-0.20,1.13,,,
17.31,1406,C1,,9.41,10.41,UiB,,0.655,16,0.006,7.7,3.5,,,,,,,,,
