Age,d18Oc
0,3.498
0.002,3.523
0.004,3.65
0.006,3.877
0.008,4.18
0.01,4.6
0.012,4.994
0.014,5.206
0.016,5.312
0.018,5.28
0.02,5.19
0.022,5.094
0.024,5.001
0.026,4.964
0.028,4.938
0.03,4.903
0.032,4.867
0.034,4.817
0.036,4.772
0.038,4.762
0.04,4.752
0.042,4.747
0.044,4.736
0.046,4.725
0.048,4.719
0.05,4.714
0.052,4.694
0.054,4.686
0.056,4.72
0.058,4.772
0.06,4.855
0.062,4.925
0.064,4.928
0.066,4.889
0.068,4.791
0.07,4.673
0.072,4.561
0.074,4.467
0.076,4.385
0.078,4.299
0.08,4.231
0.082,4.195
0.084,4.202
0.086,4.305
0.088,4.417
0.09,4.482
0.092,4.517
0.094,4.478
0.096,4.41
0.098,4.354
0.1,4.291
0.102,4.193
0.104,4.112
0.106,4.1
0.108,4.13
0.11,4.236
0.112,4.349
0.114,4.427
0.116,4.462
0.118,4.389
0.12,4.259
0.122,4.043
0.124,3.83
0.126,3.662
0.128,3.623
0.13,3.929
0.132,4.338
0.134,4.78
0.136,5.167
0.138,5.299
0.14,5.28
0.142,5.188
0.144,5.112
0.146,5.027
0.148,4.963
0.15,4.918
0.152,4.917
0.154,4.92
0.156,4.901
0.158,4.877
0.16,4.84
0.162,4.8
0.164,4.768
0.166,4.74
0.168,4.71
0.17,4.694
0.172,4.718
0.174,4.749
0.176,4.763
0.178,4.776
0.18,4.806
0.182,4.824
0.184,4.81
0.186,4.752
0.188,4.593
0.19,4.408
0.192,4.248
0.194,4.107
0.196,4.008
0.198,3.937
0.2,3.907
0.202,3.902
0.204,3.927
0.206,3.946
0.208,3.962
0.21,3.957
0.212,3.942
0.214,3.915
0.216,3.888
0.218,3.839
0.22,3.831
0.222,3.969
0.224,4.157
0.226,4.396
0.228,4.606
0.23,4.666
0.232,4.656
0.234,4.579
0.236,4.467
0.238,4.316
0.24,4.173
0.242,4.091
0.244,4.085
0.246,4.253
0.248,4.473
0.25,4.698
0.252,4.883
0.254,4.927
0.256,4.92
0.258,4.862
0.26,4.793
0.262,4.774
0.264,4.776
0.266,4.818
0.268,4.864
0.27,4.886
0.272,4.891
0.274,4.876
0.276,4.833
0.278,4.77
0.28,4.681
0.282,4.581
0.284,4.486
0.286,4.395
0.288,4.287
0.29,4.225
0.292,4.301
0.294,4.416
0.296,4.557
0.298,4.683
0.3,4.684
0.302,4.635
0.304,4.572
0.306,4.479
0.308,4.394
0.31,4.398
0.312,4.403
0.314,4.345
0.316,4.267
0.318,4.162
0.32,4.045
0.322,3.959
0.324,3.876
0.326,3.75
0.328,3.617
0.33,3.462
0.332,3.375
0.334,3.453
0.336,3.63
0.338,3.976
0.34,4.386
0.342,4.752
0.344,4.867
0.346,4.898
0.348,4.869
0.35,4.812
0.352,4.815
0.354,4.835
0.356,4.849
0.358,4.861
0.36,4.889
0.362,4.91
0.364,4.896
0.366,4.863
0.368,4.811
0.37,4.756
0.372,4.721
0.374,4.686
0.376,4.642
0.378,4.6
0.38,4.573
0.382,4.55
0.384,4.531
0.386,4.502
0.388,4.435
0.39,4.361
0.392,4.301
0.394,4.247
0.396,4.207
0.398,4.139
0.4,3.99
0.402,3.84
0.404,3.707
0.406,3.605
0.408,3.558
0.41,3.583
0.412,3.681
0.414,3.932
0.416,4.214
0.418,4.42
0.42,4.619
0.422,4.831
0.424,4.991
0.426,5.04
0.428,5.04
0.43,4.976
0.432,4.907
0.434,4.945
0.436,4.984
0.438,4.952
0.44,4.895
0.442,4.806
0.444,4.721
0.446,4.669
0.448,4.648
0.45,4.719
0.452,4.802
0.454,4.838
0.456,4.834
0.458,4.722
0.46,4.611
0.462,4.604
0.464,4.616
0.466,4.641
0.468,4.648
0.47,4.553
0.472,4.466
0.474,4.379
0.476,4.307
