Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Twoa23_1500m,SE_Twoa23_1500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tk18_1500m,SE_Tk18_1500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_species_1500m,SE_Tiso_species_1500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Twoa23_1500m_vs_Tiso_species_1500m,Ref
MOCOSED_CWuel,Cibicidoides wuellerstorfi,benthic,MOCOSED,73.04,-11.93,1839.0,1.203,0.009,4.056,0.022,0.6849,0.0043,-0.90,0.50,-0.78,0.50,,,,,-0.78,0.50,-1.51,1.00,,,,,Cibicidoides wuellerstorfi,-1.81,0.42,,,,,,,,,,,,Peral et al. (2018)
MD04-2720_pachyD,Neogloboquadrina incompta,planktic,MD04-2720,-49.13,71.36,(0-200),1.420,0.019,3.155,0.043,0.6760,0.0075,,,2.84,0.82,2.70,0.77,2.70,0.77,2.26,0.10,3.19,1.16,3.19,1.16,3.19,1.16,Neogloboquadrina spp.,-1.08,0.52,-0.75,0.59,-0.63,0.59,-0.47,0.49,-1.10,0.46,discordant,discordant,discordant,Peral et al. (2018)
MOCOSED_pachyS,Neogloboquadrina pachyderma,planktic,MOCOSED,73.04,-11.93,(25-280),0.616,0.013,2.799,0.031,0.6666,0.0055,,,1.12,0.75,0.75,0.71,0.15,0.65,-0.78,0.50,0.04,1.23,0.04,1.23,0.04,1.23,Neogloboquadrina pachyderma,2.31,0.52,2.52,0.59,2.73,0.56,2.93,0.48,2.09,0.45,,,,Peral et al. (2018)
MD12-3401_bullo,Globigerina bulloides,planktic,MD12-3401,-44.69,80.40,(0-300),0.372,0.013,1.914,0.031,0.6599,0.0054,,,9.55,0.99,9.09,1.25,6.36,2.81,1.17,0.50,11.03,1.11,11.03,1.11,11.03,1.11,Globigerina bulloides,5.63,0.47,5.55,0.47,5.07,0.59,6.93,0.46,5.82,0.42,discordant,,,Peral et al. (2018)
MD95-2014_bullo,Globigerina bulloides,planktic,MD95-2014,60.59,-22.08,(0-300),0.037,0.013,1.863,0.031,0.6480,0.0055,,,8.59,0.61,8.41,0.83,6.66,1.80,2.84,0.50,8.72,1.18,8.72,1.18,8.72,1.18,Globigerina bulloides,6.24,0.59,6.41,0.59,6.54,0.55,7.55,0.58,6.39,0.54,discordant,discordant,,Peral et al. (2018)
MD08-3182_bullo,Globigerina bulloides,planktic,MD08-3182,52.71,-35.94,(0-300),-0.237,0.010,1.760,0.022,0.6524,0.0042,,,6.12,1.00,5.76,1.42,4.76,1.32,3.44,0.10,7.31,1.76,7.31,1.76,7.31,1.76,Globigerina bulloides,6.34,0.63,6.43,0.59,6.51,0.50,7.65,0.62,6.49,0.58,,,,Peral et al. (2018)
MD08-3182_pachyS,Neogloboquadrina pachyderma,planktic,MD08-3182,52.71,-35.94,(25-280),0.597,0.019,1.699,0.043,0.6504,0.0074,,,6.32,1.17,5.76,1.42,4.76,1.32,3.44,0.10,7.22,1.58,7.22,1.58,7.22,1.58,Neogloboquadrina pachyderma,7.31,0.63,7.35,0.63,7.44,0.55,7.96,0.60,6.78,0.56,,,,Peral et al. (2018)
MD03-2680_pachyD,Neogloboquadrina incompta,planktic,MD03-2680,61.06,-24.55,(0-200),0.460,0.019,1.663,0.043,0.6470,0.0074,,,8.54,0.70,8.23,0.85,6.43,1.75,3.02,0.50,8.64,1.24,8.64,1.24,8.64,1.24,Neogloboquadrina spp.,7.60,0.67,7.86,0.63,7.95,0.55,8.25,0.64,7.05,0.60,,,,Peral et al. (2018)
2FPA1_UviMed,Uvigerina mediterranea,benthic,2FPA1,43.67,-2.00,664.0,0.233,0.007,2.256,0.016,0.6486,0.0036,10.60,0.50,10.55,0.10,,,,,10.55,0.10,11.23,1.00,,,,,Uvigerina spp.,9.93,0.46,,,,,,,,,,,,Peral et al. (2018)
SU90-03_bullo,Globigerina bulloides,planktic,SU90-03,40.05,-30.00,(0-300),-0.393,0.016,1.556,0.036,0.6429,0.0063,,,15.09,1.29,14.22,1.98,10.26,3.64,3.32,0.50,14.49,1.84,14.49,1.84,14.49,1.84,Globigerina bulloides,9.73,0.49,9.60,0.53,8.80,0.82,11.07,0.48,9.68,0.44,discordant,discordant,,Peral et al. (2018)
MD08-3179_inflata200,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),0.213,0.019,0.647,0.043,0.6272,0.0075,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,15.99,0.58,15.76,0.66,14.93,0.90,15.43,0.50,13.73,0.47,,,,Peral et al. (2018)
MD08-3179_inflata250,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),0.626,0.019,0.903,0.043,0.6224,0.0073,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,14.81,0.58,14.58,0.65,13.76,0.89,14.25,0.50,12.64,0.46,,,,Peral et al. (2018)
MD08-3179_inflata315,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),0.510,0.019,1.414,0.043,0.6376,0.0074,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,12.48,0.57,12.26,0.64,11.45,0.88,11.93,0.49,10.48,0.46,discordant,,,Peral et al. (2018)
MD08-3179_inflata355,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),0.831,0.019,1.125,0.043,0.6286,0.0074,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,13.79,0.57,13.57,0.65,12.75,0.89,13.24,0.49,11.69,0.46,,,,Peral et al. (2018)
MD08-3179_inflata400,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),0.869,0.019,1.020,0.043,0.6219,0.0073,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,14.27,0.58,14.04,0.65,13.22,0.89,13.72,0.50,12.14,0.46,,,,Peral et al. (2018)
